,Ticker,Cov_mar,Market_var,Beta,Volatility%,Return%,CV,Sharp Ratio,CAGR,MAXDD%,Value at Risk
2,MAXHEALTH.NS,0.015559954874425389,0.0537764171281169,0.2893453246867556,41.4527314463381,60.792346582693256,68.1874179506325,1.3459269060452204,57.283949588511284,25.886203539501647,-41514.41592453851
24,CDSL.NS,0.042281180582534536,0.0537764171281169,0.7862401930162785,41.43039048432746,57.00868736552934,72.6738193754284,1.2553269896213868,76.7067965494616,36.88947172471085,-26778.583693676497
8,LINDEINDIA.NS,0.04202289995213971,0.0537764171281169,0.7814373325025425,42.770382450990965,51.93116358730562,82.35976145438426,1.0972818314421748,67.9698937142863,46.9735821399139,-4563.013877949023
16,SPLPETRO.NS,0.022935751797675753,0.0537764171281169,0.42650204350791227,44.23009996080123,51.09280319220245,86.56816067502717,1.0421139276884301,66.56946147710863,37.19224444245151,4483.576462171797
6,AFFLE.NS,0.036368954558075414,0.0537764171281169,0.6762993241336633,47.55317419036025,46.37143870083707,102.54841239053869,0.8700037254132172,58.897944488454776,58.273271057357476,27533.723870965492
11,APOLLOHOSP.NS,0.04019762112465473,0.0537764171281169,0.747495338502897,39.7189750009573,38.684765923222315,102.67342726019741,0.8480774219981873,47.15678552809823,39.53184844163923,19228.532967111198
25,ESABINDIA.NS,0.041050744723839634,0.0537764171281169,0.763359608470017,44.63598174208756,38.03196042077602,117.36439891145847,0.740029884671047,46.12593201416792,44.12475527100709,35290.3281104672
27,IEX.NS,0.03243247937514899,0.0537764171281169,0.603098553365537,41.92666736660592,36.092151753874816,116.16560756066508,0.7415841445733257,43.39560011791828,54.44538526672318,32046.58097256953
19,AMBUJACEM.NS,0.04007982211370457,0.0537764171281169,0.7453048056031406,33.83484558718855,35.513849618370415,95.27225561513512,0.9018468708462017,42.56984018452219,36.308038005202505,8350.267637430108
7,KIMS.NS,0.012660102240382245,0.0537764171281169,0.2354210807726522,37.85234730451861,32.05464281966891,118.08694146887262,0.7147414822657319,16.052353555320753,25.050077514401387,28904.368874456995
22,TCIEXP.NS,0.03385260287665892,0.0537764171281169,0.629506476714663,45.42335816340227,30.499113160946358,148.9333736482744,0.5613656539707595,35.6057709905812,43.23113650915145,49727.6940995522
13,ADANIPORTS.NS,0.05586961631694767,0.0537764171281169,1.0389241102441604,40.147309943081,30.08785824105804,133.43359178785207,0.6248951243962908,35.049976270506946,46.99655413291545,38753.594981939095
5,SCI.NS,0.04742824949163612,0.0537764171281169,0.881952573720988,50.562585530278824,25.92383982049152,195.04280955443795,0.413820606700611,29.549184638260883,50.80291859424888,64544.00002261461
1,CAMS.NS,0.014833790945240477,0.0537764171281169,0.2758419347629736,36.28556508704281,23.604322148645508,153.72424108829998,0.512719647717128,18.097359988032615,47.596865812440114,40786.87454832304
12,ACC.NS,0.0396084873957831,0.0537764171281169,0.7365400952878631,31.158049916565485,16.944335545982785,183.88475506761628,0.38334669781860964,18.437583548872773,41.36279469370282,40835.83864138074
15,ABBOTINDIA.NS,0.020586701094329928,0.0537764171281169,0.38282024340305504,28.827399736676192,14.63438353448619,196.9840387792482,0.3342092461509342,15.73667721120331,32.87498281448812,39341.63191599782
14,HINDZINC.NS,0.03156579185036899,0.0537764171281169,0.5869820552597744,38.887890388833775,14.504135417983333,268.11588052754666,0.24439832870729186,15.586232576454972,42.697398651627275,58839.942151960095
4,LALPATHLAB.NS,0.028284437206661035,0.0537764171281169,0.5259635862180295,39.70184339271551,13.543854166372956,293.13549086557884,0.2152004399861338,14.483067613225131,56.37623179749701,61229.78093525161
