,Ticker,Cov_mar,Market_var,Beta,Volatility%,Return%,CV,Sharp Ratio,CAGR,MAXDD%,Value at Risk
0,TANLA.NS,0.025275240829973136,0.03249103286785387,0.7779143535624585,56.89775357877822,51.52305131624364,110.43164588514986,0.817660599760407,67.35631710554837,71.61565571777783,44170.62053629971
5,ALKYLAMINE.NS,0.028852577846659705,0.03249103286785387,0.888016640283726,43.166588067008746,41.97773630480611,102.83210069635538,0.8566286556492372,52.12812131073945,45.53664979186721,23308.784685977676
12,DIAMINESQ.BO,0.03015546563239476,0.03249103286785387,0.9281165592685765,57.59222120375328,34.71067676997944,165.9207672192771,0.5158800294377811,41.4705170206997,60.007570615995206,66121.06533334206
2,AUROLAB.BO,0.018457546546103227,0.03249103286785387,0.5680812494072739,63.18104831125976,32.73143718571162,193.0286407919797,0.43892018139827993,38.69947240020779,76.2559248937815,75321.81261805487
1,LAURUSLABS.NS,0.024244965745916953,0.03249103286785387,0.7462048327156923,36.15714082932348,32.52213579133627,111.17701820479932,0.7611811985148944,27.324424101356183,49.04729735503815,22470.81647278958
8,VIDHIING.NS,0.030448735754456457,0.03249103286785387,0.937142745763,49.287936051702964,31.307980120542144,157.42930671967434,0.5337610423156108,30.346953930093257,63.113418583027915,56001.49377023168
10,NELCO.NS,0.03737203709076514,0.03249103286785387,1.1502261944938188,53.10103561589492,27.17045143497196,195.4367072000389,0.41751448305719296,31.200856384041288,65.90142477208603,66829.02485116018
9,ACE.NS,0.0404319076724921,0.03249103286785387,1.2444020427708475,52.98953625499677,23.354012317478333,226.89692689482303,0.3463705028320114,26.29057736616136,83.29452286709802,70064.43961557912
7,DIVISLAB.NS,0.021209798606757032,0.03249103286785387,0.6527893001438463,33.48186178061982,21.002631971111366,159.4174569486022,0.4779492871681976,23.35719758181696,59.54298156017679,39002.20670423353
6,HINDUNILVR.NS,0.019718221308678743,0.03249103286785387,0.606881947670788,23.629754721511397,18.61137815521467,126.96402450395992,0.5760270606119972,20.44394301002983,30.455781225580658,18110.9280054087
11,INFY.NS,0.025553465595704036,0.03249103286785387,0.7864774782517377,27.525420347647255,18.30936881838475,150.33516786230504,0.4835300842016885,20.080933719716864,35.88178503486017,29583.043089178012
3,HCLTECH.NS,0.022206978767850608,0.03249103286785387,0.6834802346287321,28.18617784406698,13.93615815634797,202.25213812766665,0.31704043754300576,14.945401107158673,34.722099854245634,39585.65381953031
4,GPIL.NS,0.037627985368933914,0.03249103286785387,1.1581036996260734,76.49948056261829,10.865364958114226,704.0672895712415,0.07667195796595193,11.471140969483962,87.13915704801872,93070.2616771294
