Date,ABSLAMC.NS,ACE.NS,ADCINDIA.NS,ADORWELD.NS,AIMCOPEST.NS,AJANTPHARM.NS,ALKYLAMINE.NS,AMIORG.NS,AMRUTANJAN.NS,AXITA.NS,AXTEL.NS,BAJAJ-AUTO.NS,BEL.NS,BLS.NS,CAPLIPOINT.NS,CDSL.NS,CLEAN.NS,CMSINFO.NS,CONTROLPR.NS,CRISIL.NS,DENORA.NS,DIAMINESQ.NS,DISAQ.NS,DIVISLAB.NS,DODLA.NS,ESABINDIA.NS,FCL.NS,FINCABLES.NS,GANDHITUBE.NS,GILLETTE.NS,GLAND.NS,GLAXO.NS,GLOBAL.NS,GRINDWELL.NS,GRSE.NS,GUJTHEM.NS,HAL.NS,HDFCAMC.NS,HINDUNILVR.NS,ICICIGI.NS,IEX.NS,IGL.NS,INGERRAND.NS,INTELLECT.NS,ITC.NS,JAGSNPHARM.NS,JBCHEPHARM.NS,JYOTIRES.NS,KENNAMET.NS,KSB.NS,KSCL.NS,KSOLVES.NS,LIKHITHA.NS,LINDEINDIA.NS,MACPOWER.NS,MERMETL.NS,MORGANITE.NS,NINSYS.NS,PAR.NS,PGHH.NS,PGHL.NS,POLYCAB.NS,PRAJIND.NS,ROSSARI.NS,RPGLIFE.NS,RSYSTEMS.NS,SANOFI.NS,SCHAEFFLER.NS,SGRL.NS,SHANTIGEAR.NS,SIGMA.NS,SIKA.NS,SKFINDIA.NS,SODFC.NS,SUMICHEM.NS,SUPREMEIND.NS,SWARAJENG.NS,TANFACIND.NS,TCIEXP.NS,TIDEWATER.NS,TIGERLOGS.NS,TIMKEN.NS,TIPSINDLTD.NS,TRITURBINE.NS,UTIAMC.NS,VINATIORGA.NS,VINYLINDIA.NS,VSL.NS,VSTIND.NS,WORL.NS
2018-12-31 00:00:00,,89.01661682128906,,353.47918701171875,,767.4764404296875,312.3697814941406,,282.96087646484375,,,2372.04638671875,25.788726806640625,28.1719970703125,373.45172119140625,212.6582489013672,,,269.3701171875,1489.41748046875,259.920166015625,,,1439.2598876953125,,817.8029174804688,36.27179718017578,430.0362548828125,335.5466003417969,6071.16455078125,,1361.913818359375,15.967609405517578,525.985595703125,79.0533218383789,,687.4631958007812,1418.749267578125,1700.68896484375,845.697265625,52.970497131347656,258.572998046875,550.8117065429688,223.78024291992188,238.56973266601562,29.665929794311523,289.2055358886719,,,729.6312866210938,552.2633666992188,,,663.1675415039062,149.55441284179688,,,,,9154.953125,2533.309814453125,,102.73524475097656,,221.728759765625,45.25003433227539,5074.236328125,1100.6868896484375,,123.0077133178711,,,1718.176513671875,,,1092.65185546875,1381.0916748046875,,616.0574340820312,662.0203247070312,,551.1062622070312,61.26374053955078,108.34402465820312,,808.4578857421875,69.64276885986328,,2647.879150390625,
2019-01-01 00:00:00,,92.14000701904297,,361.1789245605469,,764.8873291015625,300.6061706542969,,279.00372314453125,,,2377.714599609375,25.64211654663086,27.99555206298828,374.13604736328125,216.27633666992188,,,272.88629150390625,1494.817138671875,259.5218200683594,,,1432.2705078125,,818.8712158203125,36.024715423583984,430.41497802734375,339.6222229003906,6041.970703125,,1346.320556640625,15.967609405517578,524.2513427734375,78.7976303100586,,680.433837890625,1427.61083984375,1683.3515625,854.306396484375,53.08231735229492,262.8301696777344,559.2822265625,228.0645294189453,239.45912170410156,29.855487823486328,294.26361083984375,,,725.72265625,553.84912109375,,,666.0462036132812,146.9492645263672,,,,,9173.15234375,2597.45068359375,,104.13999938964844,,222.14877319335938,44.51125717163086,5049.90185546875,1090.7286376953125,,123.46143341064453,,,1717.41064453125,,,1071.119384765625,1381.82373046875,,621.9521484375,658.0007934570312,,579.4678955078125,60.970611572265625,107.118408203125,,797.8472900390625,70.57547760009766,,2650.7109375,
2019-01-02 00:00:00,,95.06819152832031,,353.10125732421875,,753.6571044921875,304.82550048828125,,276.07244873046875,,,2347.498779296875,26.301860809326172,27.548564910888672,374.1849670410156,219.79922485351562,,,271.7735900878906,1499.9864501953125,259.7209777832031,,,1427.8538818359375,,812.9061279296875,35.72821807861328,429.2314758300781,342.9812927246094,6057.94482421875,,1345.9163818359375,15.940946578979492,519.6580200195312,79.56473541259766,,681.5415649414062,1419.786376953125,1667.9302978515625,856.4586791992188,52.60308837890625,266.4100036621094,551.9957885742188,222.4849853515625,237.68032836914062,29.33420181274414,294.4053955078125,,,722.1908569335938,544.5750732421875,,,663.4114990234375,143.90994262695312,,,,,9165.046875,2498.132568359375,,106.4344711303711,,215.4749755859375,43.95717239379883,4965.70947265625,1099.4794921875,,123.32532501220703,,,1718.176513671875,,,1048.37841796875,1387.9097900390625,,628.53466796875,658.0982666015625,,574.6776733398438,59.84695053100586,114.17793273925781,,781.1490478515625,69.5539321899414,,2579.757568359375,
2019-01-03 00:00:00,,95.01939392089844,,347.6217346191406,,744.951171875,305.817138671875,,275.0465393066406,,,2355.65234375,26.037967681884766,27.44270133972168,373.35400390625,219.32315063476562,,,273.3759765625,1511.986328125,253.79562377929688,,,1395.8194580078125,,781.1661987304688,35.03638458251953,425.87030029296875,340.1148986816406,6058.08544921875,,1322.9984130859375,15.940946578979492,519.3299560546875,79.82042694091797,,675.4920654296875,1431.9002685546875,1671.4818115234375,849.365966796875,52.012046813964844,265.3940734863281,537.7416381835938,220.3428192138672,236.19801330566406,29.428979873657227,295.96539306640625,,,721.6728515625,538.5204467773438,,,659.6057739257812,145.2125244140625,,,,,9123.369140625,2441.06787109375,,114.81623840332031,,214.02821350097656,44.0956916809082,4965.5908203125,1087.86962890625,,123.0077133178711,,,1711.7802734375,,,1025.683349609375,1347.7791748046875,,629.4189453125,659.41357421875,,568.9863891601562,58.674442291259766,109.66768646240234,,791.2951049804688,69.82041931152344,,2485.382568359375,
2019-01-04 00:00:00,,96.23945617675781,,347.3855285644531,,730.8405151367188,305.9920959472656,,270.40545654296875,,,2384.298828125,26.932289123535156,27.86616325378418,371.6919860839844,218.37103271484375,,,273.6875305175781,1501.278564453125,258.57574462890625,,,1417.758056640625,,798.1713256835938,34.29513168334961,427.811279296875,343.9665832519531,6066.6796875,,1303.180908203125,15.940946578979492,521.345458984375,78.7976303100586,,694.1515502929688,1436.095458984375,1665.2198486328125,848.0941162109375,51.59671401977539,269.0223388671875,541.3848876953125,217.10467529296875,237.976806640625,29.428979873657227,288.8746337890625,,,714.9859008789062,528.6217041015625,,,662.6796264648438,145.2125244140625,,,,,9063.1162109375,2512.86181640625,,112.94320678710938,,215.24163818359375,44.0956916809082,4881.27880859375,1094.7274169921875,,121.12325286865234,,,1718.13134765625,,,1009.6853637695312,1375.509033203125,,626.4715576171875,657.8971557617188,,560.3546142578125,58.821006774902344,107.0203628540039,,792.1508178710938,70.88638305664062,,2508.561767578125,
2019-01-07 00:00:00,,96.48348236083984,,346.3935546875,,762.1041259765625,304.3977355957031,,279.6877136230469,,,2318.32958984375,26.800336837768555,28.33667755126953,372.3763732910156,218.7042694091797,,,272.3522644042969,1513.6478271484375,261.961669921875,,,1442.51171875,,791.1377563476562,34.245723724365234,426.8171081542969,340.2044372558594,6058.7392578125,,1310.281005859375,15.940946578979492,524.4857788085938,81.3546142578125,,672.6378173828125,1421.01171875,1668.25732421875,846.6755981445312,50.478519439697266,264.66845703125,535.00927734375,219.24684143066406,238.56973266601562,29.8080997467041,283.0130310058594,,,714.7034301757812,525.0178833007812,,,663.8018798828125,148.39659118652344,,,,,9080.947265625,2613.002685546875,,114.3947982788086,,216.92173767089844,43.95717239379883,4863.23779296875,1098.5716552734375,,119.99256896972656,,,1725.2481689453125,,,985.9210815429688,1358.4869384765625,,620.478515625,657.0628662109375,,556.797607421875,59.40726089477539,108.73622131347656,,794.9134521484375,70.13133239746094,,2611.1484375,
2019-01-08 00:00:00,,99.11884307861328,,347.2438049316406,,759.12646484375,302.5893859863281,,281.78839111328125,,,2349.984375,26.639066696166992,28.18376350402832,374.3805236816406,222.22714233398438,,,267.2337341308594,1502.7557373046875,258.87451171875,,,1416.156494140625,,784.5048828125,33.899803161621094,424.73419189453125,337.4724426269531,6071.95751953125,,1301.2486572265625,15.940946578979492,518.3924560546875,80.84323120117188,,672.680419921875,1405.4569091796875,1655.0792236328125,845.4526977539062,52.79478454589844,261.765869140625,539.9275512695312,222.4849853515625,240.77203369140625,29.760709762573242,287.1256408691406,,,713.05517578125,516.8009033203125,,,674.4871215820312,148.5895538330078,,,,,9242.341796875,2601.318115234375,,120.85672760009766,,214.63491821289062,44.0956916809082,4931.45947265625,1092.708740234375,,118.6263427734375,,,1731.0137939453125,,,966.4816284179688,1383.7913818359375,,628.0927124023438,654.6143798828125,,567.7058715820312,59.16298294067383,106.57913970947266,,787.7257080078125,69.95366668701172,,2546.46533203125,
2019-01-09 00:00:00,,95.65382385253906,,348.42474365234375,,749.838134765625,301.3838806152344,,280.3716125488281,,,2351.77197265625,27.07889747619629,27.8779239654541,375.455810546875,219.98965454101562,,,268.079345703125,1511.6632080078125,258.67535400390625,,,1430.135009765625,,793.7197265625,34.04804992675781,424.2134094238281,333.0384521484375,6071.724609375,,1316.2576904296875,15.940946578979492,520.4080200195312,80.07613372802734,,666.9717407226562,1414.4599609375,1668.3040771484375,845.4526977539062,52.71491241455078,257.55712890625,532.4589233398438,220.94064331054688,245.9813232421875,29.47637176513672,286.3692626953125,,,706.1798706054688,527.0360717773438,,,670.97412109375,140.33993530273438,,,,,9246.0458984375,2671.671875,,135.70042419433594,,219.11521911621094,48.528350830078125,4958.14306640625,1090.8250732421875,,116.5534439086914,,,1744.2564697265625,,,974.0620727539062,1378.1171875,,623.5241088867188,654.316162109375,,560.2123413085938,58.08818817138672,107.85377502441406,,789.950439453125,70.30899810791016,,2566.367919921875,
2019-01-10 00:00:00,,94.72657775878906,,375.114013671875,,752.6861572265625,303.2699890136719,,285.3546142578125,,,2376.53759765625,27.093557357788086,27.642669677734375,371.8875427246094,219.1803436279297,,,264.6966857910156,1522.232666015625,258.92431640625,,,1475.95361328125,,797.281005859375,34.04804992675781,425.5389709472656,336.1288146972656,6068.0341796875,,1332.839599609375,15.940946578979492,517.1738891601562,79.22380065917969,,661.0501708984375,1421.1531982421875,1669.42529296875,871.0843505859375,51.21333312988281,257.8473815917969,526.265380859375,219.59555053710938,245.3037109375,29.33420181274414,284.2420654296875,,,712.5371704101562,535.204833984375,,,726.2056274414062,139.90574645996094,,,,,9258.2744140625,2754.820556640625,,129.1448516845703,,220.60867309570312,49.405643463134766,4963.439453125,1097.470458984375,,119.75701141357422,,,1743.4456787109375,,,1002.61669921875,1376.1038818359375,,623.6224365234375,654.176025390625,,560.1174926757812,58.23474884033203,110.79524230957031,,783.49609375,71.90792083740234,,2580.485595703125,
2019-01-11 00:00:00,,93.70170593261719,,370.7209167480469,,750.6795654296875,303.58111572265625,,283.4004821777344,,,2372.744384765625,26.990930557250977,27.889690399169922,405.2244567871094,219.08511352539062,,,269.94873046875,1522.4169921875,254.8412628173828,,,1461.1014404296875,,806.5847778320312,33.75155258178711,425.63360595703125,335.90484619140625,6071.2109375,,1333.7833251953125,15.940946578979492,520.267333984375,79.52212524414062,,661.0075073242188,1410.7362060546875,1653.7239990234375,865.8014526367188,51.484901428222656,261.9593505859375,533.7796020507812,219.04757690429688,250.17422485351562,28.95508575439453,284.05303955078125,,,703.4015502929688,535.1087036132812,,,772.0203247070312,137.9759979248047,,,,,9260.9130859375,2714.747802734375,,142.44329833984375,,217.80848693847656,47.789573669433594,4964.59521484375,1094.910888671875,,120.18102264404297,,,1747.45458984375,,,1034.42626953125,1369.8349609375,,624.7523193359375,652.6533813476562,,561.8248291015625,58.91871643066406,110.6481704711914,,767.7757568359375,72.26325225830078,,2568.51220703125,
