Date,Open,High,Low,Close,Adj Close,Volume
2019-03-18,27.25,27.700000762939453,26.5,26.649999618530273,23.02930450439453,538790
2019-03-19,27.149999618530273,27.25,26.5,26.799999237060547,23.158926010131836,160740
2019-03-20,26.700000762939453,26.899999618530273,26.450000762939453,26.549999237060547,22.94289207458496,138569
2019-03-22,26.850000381469727,27.25,25.899999618530273,26.0,22.467615127563477,311891
2019-03-25,25.850000381469727,26.0,25.25,25.399999618530273,21.949134826660156,150886
2019-03-26,25.100000381469727,26.0,24.899999618530273,25.100000381469727,21.689891815185547,386974
2019-03-27,25.100000381469727,25.5,24.600000381469727,24.700000762939453,21.344236373901367,223525
2019-03-28,24.850000381469727,25.450000762939453,24.75,25.0,21.60347557067871,201843
2019-04-01,25.399999618530273,26.600000381469727,25.399999618530273,26.399999618530273,22.813270568847656,367045
2019-04-02,26.649999618530273,26.899999618530273,26.200000762939453,26.600000381469727,22.986099243164062,199260
2019-04-03,26.75,27.25,26.200000762939453,26.350000381469727,22.770063400268555,289605
2019-04-04,26.5,26.5,26.0,26.149999618530273,22.59723663330078,122977
2019-04-05,26.25,26.600000381469727,26.0,26.299999237060547,22.726856231689453,91005
2019-04-08,26.149999618530273,26.899999618530273,26.049999237060547,26.200000762939453,22.640445709228516,201420
2019-04-09,25.850000381469727,26.399999618530273,25.850000381469727,26.100000381469727,22.554031372070312,106932
2019-04-10,26.100000381469727,26.299999237060547,25.899999618530273,26.0,22.467615127563477,98132
2019-04-11,26.100000381469727,26.299999237060547,25.700000762939453,25.799999237060547,22.294790267944336,169800
2019-04-12,25.850000381469727,26.299999237060547,25.799999237060547,26.049999237060547,22.51082420349121,268653
2019-04-15,26.299999237060547,27.5,26.0,26.899999618530273,23.24534034729004,441982
2019-04-16,27.0,27.350000381469727,26.399999618530273,26.600000381469727,22.986099243164062,189472
2019-04-18,27.700000762939453,28.450000762939453,26.950000762939453,27.450000762939453,23.720619201660156,1221333
2019-04-22,27.5,27.5,26.450000762939453,26.649999618530273,23.02930450439453,122795
2019-04-23,27.0,27.600000381469727,26.799999237060547,26.899999618530273,23.24534034729004,211630
2019-04-24,26.75,27.25,26.75,26.950000762939453,23.288549423217773,140147
2019-04-25,27.0,27.149999618530273,26.549999237060547,26.799999237060547,23.158926010131836,107238
2019-04-26,26.950000762939453,27.0,26.600000381469727,26.700000762939453,23.0725154876709,92068
2019-04-30,26.600000381469727,26.649999618530273,25.600000381469727,26.0,22.467615127563477,91838
2019-05-02,26.049999237060547,26.25,25.399999618530273,25.549999237060547,22.078754425048828,108213
2019-05-03,25.75,26.0,25.399999618530273,25.450000762939453,21.992341995239258,93881
2019-05-06,25.399999618530273,25.75,24.700000762939453,25.0,21.60347557067871,101507
2019-05-07,25.049999237060547,25.600000381469727,24.200000762939453,24.5,21.17140769958496,201624
2019-05-08,24.649999618530273,24.700000762939453,23.950000762939453,24.100000381469727,20.82575035095215,131803
2019-05-09,24.5,24.5,23.350000381469727,23.600000381469727,20.3936824798584,126451
2019-05-10,23.649999618530273,23.950000762939453,23.100000381469727,23.5,20.307270050048828,90667
2019-05-13,23.5,23.5,22.950000762939453,23.0,19.875202178955078,84238
2019-05-14,23.0,23.450000762939453,22.5,23.0,19.875202178955078,99743
