,Ticker,Cov_mar,Market_var,Beta,Volatility%,Return%,CV,Sharp Ratio,CAGR,MAXDD%,Value at Risk
10,BALAMINES.NS,0.06090529337781855,0.03869226647591326,1.574094746187416,59.21693099255264,89.20313940756739,66.38435753027889,1.421943656927393,70.75746427594238,54.275723808580764,-53211.80589971773
2,TANLA.NS,0.031105238145560012,0.03869226647591326,0.8039135718483607,57.79213683333582,77.18708493955604,74.87280660824528,1.2490814303636701,58.88289031075571,71.6156557177778,-14396.549988119223
7,ALKYLAMINE.NS,0.04916110473408824,0.03869226647591326,1.2705666845516026,48.744808285673116,75.8542362753175,64.2611549192202,1.4535750322387195,57.617697302191885,45.53665201711971,-63300.03309958405
3,LAURUSLABS.NS,0.038348119737825405,0.03869226647591326,0.9911055420260249,42.81987457605424,69.05701676546467,62.006551371139466,1.4959646052136422,51.32051165454363,37.48412866351952,-69992.2652866116
13,VIDHIING.NS,0.04934241939304086,0.03869226647591326,1.27525275428767,55.10442782571021,65.25521649890067,84.44447935689331,1.0934732266793854,47.90875319867889,43.949932709590534,9096.681220790924
19,DEEPAKNTR.NS,0.05930292066493332,0.03869226647591326,1.5326814908051616,46.98335631821068,63.92403562990603,73.49873307471553,1.2541470053953374,46.732415747836775,41.228338870770074,-24290.994859392842
20,APLAPOLLO.NS,0.05311082774571502,0.03869226647591326,1.3726471096951016,46.05346580059041,63.91623276783713,72.0528476199002,1.2793007376022896,46.7255481704052,49.32365305079087,-29073.435758395543
18,CDSL.NS,0.042983568122891176,0.03869226647591326,1.1109085106102363,41.86574095069439,59.82090314688101,69.98513688083162,1.309445429651992,43.16509760545208,36.88947172471085,-35517.285158427025
17,DWARKESH.NS,0.04843539627492277,0.03869226647591326,1.2518107799416405,57.82816357999012,54.181082731244835,106.73128085467754,0.8504693852713425,38.402862541420376,67.0276773506041,41594.87721489418
1,MANALIPETC.NS,0.04964699461240723,0.03869226647591326,1.283124488024332,57.031141547617636,52.7434617427446,108.12931055945118,0.8371472225026678,37.214491644052885,62.31579027677836,41263.287302370314
24,JBCHEPHARM.BO,0.02786686180387594,0.03869226647591326,0.7202178714762972,37.04359752014535,52.61629820476125,70.40327576065256,1.2854123625240816,37.10986779580212,26.54220073729221,-33227.31872958754
11,SRF.NS,0.05259667072121593,0.03869226647591326,1.3593587430180254,38.50772204125246,50.098124292741076,76.86459839541737,1.171144952288491,35.05439235417411,36.6806218498123,-17750.662079932474
12,BALKRISIND.NS,0.05223005935205128,0.03869226647591326,1.349883687598543,37.47314802059606,39.28647661363413,95.38434405591677,0.9149612035473919,26.573766034715863,45.100418039318455,11618.862460641321
23,GRINDWELL.NS,0.030097466880961234,0.03869226647591326,0.7778677658931541,36.164870580793384,38.924564777846726,92.9101475821151,0.9380529843749407,26.29928717367669,37.422859669245646,7623.386260212443
14,ACE.NS,0.06037428325583411,0.03869226647591326,1.5603708119145296,55.69681388187758,35.38642850336494,157.39597421249024,0.5455685233235928,23.647071698500532,64.7124519211846,62371.07064698771
15,NELCO.NS,0.05116374058783599,0.03869226647591326,1.3223247239777611,52.82094876493893,34.08526650495033,154.9670992223797,0.550638850399755,22.685779903405233,56.84809661402538,58984.285847452695
22,SOLARINDS.BO,0.026044483214749795,0.03869226647591326,0.6731185734741857,33.24504622124309,30.074831279144316,110.54108969946972,0.7542426354974315,19.769654335354847,34.08774881161544,19962.514872411688
21,ABBOTINDIA.NS,0.02258001202797431,0.03869226647591326,0.5835794613383746,29.43935869398914,29.176409683625305,100.90123840875256,0.8212274572598482,19.125943213331876,32.874982814488156,10107.082378400635
9,DIVISLAB.NS,0.03189743814477301,0.03869226647591326,0.8243879475147786,31.055867568463814,28.25829942366589,109.89998762082267,0.7489180385121139,18.471699428882935,35.80410052096119,17484.625918067337
0,MAITHANALL.NS,0.04983120108929294,0.03869226647591326,1.2878852966732743,52.990398256474016,23.098046681604593,229.41506261079581,0.34153445297787494,14.860801014901416,49.57143619105999,70585.61512132213
16,INFY.NS,0.045356152954624744,0.03869226647591326,1.1722278658155083,32.3883881300554,21.137481133995745,153.22728344374318,0.498248973341797,13.51792553716602,37.3385708612949,35594.355964596085
5,HCLTECH.NS,0.0407679575588113,0.03869226647591326,1.0536461487514617,31.22708275130652,20.582042635179814,151.72003724223023,0.49899130057314994,13.140343886982663,34.97643526992702,34267.05267051404
