name,bse_code,nse_code,industry,current_price,price_to_earning,market_capitalization,roce,eps_last_year,roe,book_value,price_to_book_value,graham_number,historical_pe_7years,current_ratio,peg_ratio,debt_equity,z_score,f_score,npm_last_year,growth,eps,industry_pe,quick_ratio,debtor_days,number_of_equity_shares,intrinsic_value,enterprise_value,pledged_percentage,promoter_holding,earnings_yield,free_cash_flow_3years,g_factor,return_on_assets,ticker,debt_equity_norm,current_ratio_norm,growth_norm,roce_norm,roe_norm,final_score
Neuland Labs.,524558.0,NEULANDLAB,Pharmaceuticals - Indian - Bulk Drugs,11070.6,59.19,14203.46,33.26,233.89,26.39,1087.47,10.18,2391.37,29.17,2.34,0.75,0.08,14.42,8.0,19.27,18.49,233.72,25.37,1.4,87.48,1.28,4244.27,14225.96,0.0,32.68,2.34,254.48,3.0,17.61,,0.9120879120879121,0.06496390893947805,0.08630910703449564,0.19671161580317006,0.06768402154398565,0.2242623728291375
NBCC,534309.0,NBCC,Miscellaneous,77.89,37.15,21030.3,31.99,1.49,24.85,8.66,8.99,19.02,30.56,1.18,5.56,0.0,4.31,8.0,5.12,14.48,1.86,26.82,1.06,101.53,270.0,27.27,16222.89,0.0,61.75,4.93,-282.69,4.0,4.16,NBCC,1.0,0.032759578012215435,0.06759090696914531,0.18920037851904423,0.06373429084380611,0.22403657621729947
Mamata Machinery,544318.0,MAMATA,Engineering,346.05,23.58,851.55,33.01,132.14,27.76,55.93,6.19,407.8,3.12,1.25,,0.04,7.54,8.0,15.27,16.8,132.14,32.36,0.5,57.51,2.46,855.56,853.93,0.0,62.45,5.67,70.71,5.0,15.54,MAMATA.NS,0.9560439560439561,0.03470294280955025,0.07842038930121832,0.19523302578660987,0.07119774301102848,0.22323843305333568
Pee Cee Cosma,524136.0,,Detergents / Intermediates,578.45,13.15,153.29,34.67,39.45,29.55,174.96,3.31,416.48,10.96,2.16,0.44,0.1,8.8,8.0,7.81,17.56,44.06,13.15,1.08,1.01,0.26,529.69,155.34,0.0,72.58,10.2,6.14,4.0,21.97,PCCOSMA.BO,0.8901098901098901,0.05996668517490283,0.08196797834103534,0.20505086349656967,0.07578866375993845,0.22216972058802456
Shree Ganesh Rem,540737.0,,Pharmaceuticals - Indian - Bulk Drugs & Formln,657.05,28.99,843.43,27.82,21.97,26.87,103.73,6.33,230.13,26.5,4.22,0.83,0.25,10.46,8.0,22.34,36.93,22.69,27.99,3.19,58.94,1.28,690.58,862.6,0.0,72.8,4.64,-34.61,3.0,18.21,SGRL.BO,0.7252747252747254,0.11715713492504162,0.17238482005321384,0.16453749704281995,0.0689151064375481,0.2220093614855942
Bayer Crop Sci.,506285.0,BAYERCROP,Pesticides / Agrochemicals - Multinational,4737.95,40.89,21293.34,33.91,164.77,26.7,685.82,6.91,1337.09,38.31,2.22,2.4,0.01,9.27,9.0,14.55,6.19,115.86,40.89,1.57,68.67,4.49,2295.03,20409.44,0.0,71.43,3.24,1617.1,3.0,16.01,,0.989010989010989,0.061632426429761245,0.028894179153246515,0.2005559498462266,0.0684790972044114,0.22170868783603984
Indiamart Inter.,542726.0,INDIAMART,Miscellaneous,1955.95,25.0,11741.99,23.93,55.68,17.65,312.72,6.25,742.21,53.72,2.28,0.33,0.02,7.35,9.0,27.97,21.36,78.29,39.55,2.28,1.46,6.0,1921.61,11740.59,0.0,49.17,5.41,1402.63,6.0,9.72,INDIAMART.NS,0.978021978021978,0.06329816768461964,0.09970592354012044,0.14153063638514313,0.045268017440369325,0.2216491418903532
Le Lavoir,539814.0,,Miscellaneous,204.25,45.64,66.18,26.64,3.21,19.24,20.59,9.92,45.53,39.15,2.55,1.3,0.0,14.48,8.0,52.26,13.53,4.48,23.49,2.55,188.92,0.32,35.82,65.41,0.0,3.76,3.03,-0.61,2.0,15.02,LELAVOIR.BO,1.0,0.0707940033314825,0.06315642066937403,0.15755855216465578,0.049345986150294945,0.22132881349663014
Styrenix Perfor.,506222.0,STYRENIX,Petrochemicals,2779.05,21.41,4888.35,31.4,98.47,23.96,457.57,6.07,1156.23,15.81,2.51,0.28,0.03,11.09,8.0,7.75,10.85,129.85,17.82,1.33,48.76,1.76,1361.54,4869.38,0.0,46.24,6.34,778.53,7.0,14.97,STYRENIX.BO,0.967032967032967,0.0696835091615769,0.0506465014237035,0.18571090607996213,0.06145165427032573,0.22108578431324385
Kaycee Inds.,504084.0,,Electric Equipment,1030.15,58.69,326.92,24.28,14.97,20.55,82.68,12.46,183.56,18.45,4.02,2.16,0.15,17.79,8.0,9.23,28.85,18.11,45.56,3.43,105.08,0.32,288.1,322.47,0.0,71.91,2.4,1.3,3.0,14.03,,0.8351648351648352,0.11160466407551359,0.13466834710358028,0.14360066240832742,0.05270582200564248,0.22052404174851709
Maruti Suzuki,532500.0,MARUTI,Automobiles - Passenger Cars,11513.8,24.89,361996.84,21.82,429.01,16.84,2834.77,4.06,5431.38,35.2,0.87,1.41,0.0,7.53,8.0,9.51,26.32,462.51,24.89,0.61,11.83,31.44,7843.79,360060.54,0.0,58.28,5.56,9021.5,5.0,12.53,MARUTI.BO,1.0,0.024153248195446973,0.12285860990524204,0.12905133664537496,0.04319056168248269,0.2199936817809714
IRIS Business,540735.0,IRIS,Computers - Software - Medium / Small,437.5,58.63,874.77,26.75,4.49,23.98,30.02,14.57,71.62,53.31,2.3,2.1,0.08,16.81,8.0,8.58,21.42,7.59,27.72,2.3,79.64,2.0,112.55,856.75,0.0,34.68,2.32,9.54,4.0,11.94,IRIS.NS,0.9120879120879121,0.06385341476957244,0.09998599635905336,0.15820913177194226,0.06150294947422417,0.2185227851060979
Trent,500251.0,TRENT,Trading,5022.4,120.18,178540.02,23.79,41.82,27.16,131.64,38.15,401.3,170.53,1.79,2.13,0.39,38.41,8.0,7.31,68.36,54.37,37.09,0.81,2.41,35.55,921.97,180162.02,0.0,37.01,1.16,1174.61,5.0,11.87,SVT.L,0.5714285714285714,0.049694614103275955,0.3190962983709098,0.14070262597586938,0.06965888689407541,0.21749958570165728
Jyothy Labs,532926.0,JYOTHYLAB,Personal Care - Indian,330.8,32.63,12147.46,26.99,10.06,21.21,51.36,6.44,108.24,34.83,2.41,2.59,0.03,10.87,9.0,12.92,13.03,10.14,32.5,1.82,26.66,36.72,143.19,12060.9,0.0,62.89,4.1,941.15,4.0,15.96,JYOTHYLAB.NS,0.967032967032967,0.06690727373681288,0.060822480511599684,0.15962857818784004,0.05439856373429085,0.21644744831463372
Veedol Corporat,590005.0,VEEDOL,Chemicals,1415.65,15.59,2466.63,23.67,82.03,17.97,500.14,2.83,990.7,16.93,2.93,1.92,0.03,6.91,8.0,7.41,15.34,87.22,28.35,1.75,43.7,1.74,997.29,2422.38,0.0,64.29,8.17,282.17,5.0,12.69,VEEDOL.NS,0.967032967032967,0.08134369794558578,0.0716052840405172,0.1399929027679205,0.046088740702744296,0.21644133434832444
Bosch,500530.0,BOSCHLTD,Auto Ancillaries,26378.35,38.45,77799.36,20.61,844.42,15.97,4318.84,6.11,8166.33,39.12,1.81,13.26,0.0,9.39,8.0,11.02,19.84,686.28,24.58,1.45,47.61,2.95,10624.46,74675.06,0.0,70.54,3.52,1364.6,3.0,10.96,BOSCHLTD.BO,1.0,0.05024986118822876,0.0926107454604864,0.12189496096522355,0.040959220312900745,0.2157734948583922
Sika Interplant,523606.0,,Engineering,2471.95,42.54,1048.11,25.58,45.66,19.39,274.35,9.01,599.29,25.88,2.41,1.24,0.0,14.55,8.0,17.23,9.97,58.18,71.82,2.15,37.45,0.42,1378.62,1023.29,0.0,71.72,3.08,25.08,6.0,16.21,SIKA.BO,1.0,0.06690727373681288,0.046538766746020636,0.1512893304944405,0.04973070017953322,0.2152201525686625
Bajaj Consumer,533229.0,BAJAJCON,Personal Care - Indian,158.81,17.46,2267.71,22.79,10.88,18.84,48.53,3.27,99.65,18.72,4.92,-2.29,0.01,8.05,8.0,15.51,2.2,9.09,32.5,4.47,16.32,14.28,113.73,2238.53,0.0,40.95,7.12,324.99,4.0,16.0,BAJAJCON.BO,0.989010989010989,0.13659078289838977,0.010269336694207163,0.13478826590962856,0.04832008207232624,0.21485880870126906
Frontier Springs,522195.0,,Auto Ancillaries,1881.55,26.43,741.33,20.51,32.98,15.5,266.83,7.05,653.89,14.51,2.18,3.1,0.03,12.18,8.0,9.39,20.72,71.22,24.58,1.07,59.76,0.39,1212.81,733.01,0.0,51.76,5.13,9.09,5.0,10.9,FRONTSP.BO,0.967032967032967,0.06052193225985564,0.09671848013816926,0.12130352495859947,0.039753783021287514,0.2135504131374359
Amrutanjan Healt,590006.0,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,589.1,34.53,1703.13,21.32,15.55,15.49,103.0,5.72,198.86,41.73,4.05,2.69,0.01,10.68,8.0,10.65,8.17,17.06,35.18,3.62,41.5,2.89,323.25,1631.88,0.0,46.52,4.17,61.48,3.0,12.31,AMRUTANJAN.NS,0.989010989010989,0.11243753470294279,0.03813658217803296,0.12609415661225454,0.0397281354193383,0.21353775924306373
Virat Crane Inds,519457.0,,Food - Processing - Indian,52.98,11.58,108.19,18.45,4.96,17.15,33.47,1.58,58.69,10.41,2.71,1.41,0.01,5.57,8.0,7.53,16.53,4.57,29.95,2.33,43.07,2.04,66.29,108.16,0.0,74.5,10.71,-3.91,3.0,12.77,,0.989010989010989,0.07523598001110493,0.07716006161602017,0.10911994322214336,0.04398563734290844,0.21330997587088474
Pix Transmission,500333.0,PIXTRANS,Miscellaneous,1583.35,18.82,2158.11,22.64,60.91,18.23,404.96,3.91,875.65,14.22,4.98,0.8,0.07,8.07,9.0,16.83,9.04,84.15,32.98,3.66,81.46,1.36,1070.12,2128.06,0.0,61.82,7.35,184.48,3.0,13.66,PIXTRANS.BO,0.9230769230769231,0.13825652415324818,0.042197638052560334,0.13390111189969245,0.046755578353423956,0.21279359085595148
Anuh Pharma,506260.0,ANUHPHR,Pharmaceuticals - Indian - Bulk Drugs,153.52,15.31,769.32,25.58,11.99,19.49,60.49,2.54,116.82,18.69,2.43,0.82,0.05,6.29,8.0,8.02,14.42,10.03,25.37,1.88,107.16,5.01,159.68,777.97,0.0,69.92,8.24,87.71,5.0,12.2,ANUHPHR.BO,0.945054945054945,0.06746252082176568,0.0673108341502124,0.1512893304944405,0.04998717619902539,0.21233375579884117
Guj Pipavav Port,533248.0,GPPL,Miscellaneous,132.18,16.36,6390.11,24.8,7.32,18.81,43.63,3.03,85.51,20.16,2.8,1.19,0.03,6.15,8.0,39.7,10.46,7.45,22.89,2.77,21.3,48.34,78.08,5344.68,0.0,44.01,10.13,1054.55,6.0,14.71,GPPL.BO,0.967032967032967,0.07773459189339255,0.048826028100639504,0.14667612964277266,0.04824313926647859,0.21179222424063365
Surya Roshni,500336.0,SURYAROSNI,Steel - Large,236.4,15.97,5144.91,20.81,15.11,16.17,104.21,2.27,186.33,13.72,3.51,0.73,0.03,7.45,8.0,4.17,12.02,14.81,16.51,1.73,33.42,21.76,160.15,5020.86,0.0,62.47,8.98,966.18,5.0,10.89,SURYAROSNI.BO,0.967032967032967,0.09744586340921708,0.056107921392895485,0.12307783297847172,0.041472172351885106,0.2114810991510837
Rane Brake Lin.,532987.0,RBL,Auto Ancillaries,673.45,11.38,520.57,20.51,52.11,15.19,360.29,1.87,685.06,17.28,2.14,5.63,0.01,5.67,8.0,6.23,15.95,57.89,24.58,1.19,81.22,0.77,871.13,522.53,0.0,70.93,11.91,13.9,4.0,10.63,RBL.BO,0.989010989010989,0.059411438089950024,0.07445269103300191,0.12130352495859947,0.03895870736086176,0.21089955519178108
