,Ticker,Cov_mar,Market_var,Beta,Volatility%,Return%,CV,Sharp Ratio,CAGR,MAXDD%,Value at Risk
9,AXITA.NS,0.008434194743437111,0.0539398693685712,0.15636290636535002,57.14215627509554,189.57418649897403,30.142371875827507,3.2300878813601517,39.562900577265324,23.160763263764974,-2968962.084160644
32,TIPSINDLTD.NS,0.03235052386158138,0.0539398693685712,0.599751616759214,56.665220987074804,103.2800659192294,54.86559335795745,1.7343983524152644,180.5030323919294,48.56606882315761,-154633.40295673397
41,GLOBAL.NS,0.01741767381772667,0.0539398693685712,0.3229090841639174,57.92687590666093,99.27679383229231,58.348858449756605,1.6275138673834737,169.5100146842841,57.904589296883266,-113761.53292189733
26,JAGSNPHARM.NS,0.04445413650062003,0.0539398693685712,0.8241424575366479,66.15220393218087,90.36004320013272,73.20957537134478,1.2903582666367956,146.54825414455019,42.80821805958632,-14045.332475925403
3,BLS.NS,0.04221459435869721,0.0539398693685712,0.7826232219852968,63.394226835789965,78.71856886655874,80.53274817947195,1.162859341395738,119.48837055121659,62.43169242282273,8168.052758026301
17,FCL.NS,0.04949813708633717,0.0539398693685712,0.9176540037224846,59.72797651212479,74.83473442595209,79.81317361555519,1.1692131309985971,111.13822993772015,59.28677804448539,2873.5843625153357
50,VINYLINDIA.NS,0.03644578053340717,0.0539398693685712,0.6756742454152623,61.581399715365606,69.3925654369745,88.74351211484847,1.0456495911850385,99.96940833554942,52.97394786612979,23493.692981713786
13,ALKYLAMINE.NS,0.04720068681617828,0.0539398693685712,0.8750611999754009,47.265981716434425,61.50634874845158,76.84732174517895,1.195497198967609,84.82475112510592,45.536652017119806,-15083.549499297398
38,KSOLVES.NS,0.011727282018959,0.0539398693685712,0.21741398628214068,118.8901474593811,56.66154497793593,209.82510714396696,0.43453175962782054,57.10925114492766,82.26442179335488,97641.37780525589
24,LINDEINDIA.NS,0.04234989058624788,0.0539398693685712,0.7851315007248352,42.730482455556036,55.73250513019131,76.67066527107922,1.1872673139826628,74.46901300524166,46.9735821399139,-17775.9615198619
65,LIKHITHA.NS,0.025802041879401307,0.0539398693685712,0.47834824558242656,47.90374767928161,54.65624036266847,87.64552292916404,1.0365836237932762,49.26721192103869,47.942984687102005,9069.821386315321
33,CDSL.NS,0.042749962198875065,0.0539398693685712,0.7925484933373589,41.48189129372836,54.53896601426229,76.0591817653466,1.194231132411074,72.40179663169128,36.88947172471081,-18197.74922189898
54,MACPOWER.NS,0.02649244877809534,0.0539398693685712,0.49114781122424306,57.1313202723724,51.40513981748806,111.13931500860599,0.8122539370043002,67.08983172043328,51.30557719353046,44232.44609912827
34,JBCHEPHARM.NS,0.029381645810822938,0.0539398693685712,0.5447111043235591,36.67755670847086,50.91922591459117,72.03086074008975,1.251970688221604,66.28097294156117,26.49447883172752,-28649.548629322002
45,ACE.NS,0.0594260531287101,0.0539398693685712,1.101709251882903,55.62168015462648,47.707023721127136,116.59012827914965,0.76781254364131,61.031510055429635,64.7124519211846,46281.87818361952
61,RSYSTEMS.NS,0.025928581584331582,0.0539398693685712,0.48069418572673117,54.071968866253606,43.5798796441328,124.0755351042677,0.713491305255773,54.529345621906565,40.041772159390746,49219.45273460755
79,PAR.NS,0.03916098404900637,0.0539398693685712,0.7260118444377259,75.7023834474031,43.3304183398417,174.70956050704876,0.5063304032755206,54.144851275714935,62.58503271903152,81557.78462844355
31,PRAJIND.NS,0.051744113746024126,0.0539398693685712,0.9592925298438624,52.99746110313859,41.888751373066555,126.51955325938569,0.6960475201119012,51.941478159214725,64.47002692791686,49318.17492955281
75,HAL.NS,0.032071533043160294,0.0539398693685712,0.5945793606583558,40.95461256629183,41.75832880633816,98.07531512150854,0.8975381893025777,51.74370700202857,48.9100157013603,16755.024365809513
10,TIMKEN.NS,0.036161554652855095,0.0539398693685712,0.6704049356471953,42.14959164821034,41.616539020320495,101.2808672716142,0.8687282032511748,51.528990780407135,37.17636350490055,21355.901746753152
19,SHANTIGEAR.NS,0.04222830852239177,0.0539398693685712,0.782877471093704,52.669658541423544,41.598346538728585,126.61478862480129,0.6948658402625637,51.501463399853066,46.1035938613102,48911.740534534445
63,DENORA.NS,0.03645639225049095,0.0539398693685712,0.6758709777620033,60.08832319633215,40.055735797061956,150.01178233440305,0.5834034623086602,49.1854082532178,52.930729375520144,65060.63781708591
78,INTELLECT.NS,0.04724930940479069,0.0539398693685712,0.8759626220437445,54.32346345069018,39.17193586653217,138.67954761230783,0.6290456037942113,47.8744712824589,73.93957182828657,55692.39778963182
6,ESABINDIA.NS,0.041721458027561546,0.0539398693685712,0.7734808874392848,45.40627516914008,37.944742641679575,119.66420644335732,0.725554838377717,46.07326150746811,44.12475527100711,37038.77779100812
11,GRINDWELL.NS,0.028447528347905114,0.0539398693685712,0.5273933489442311,35.981156974993304,37.76618900279776,95.27346530074237,0.9106485660138741,45.81302456476217,37.42285966924566,9779.074181768985
14,SCHAEFFLER.NS,0.02439688466179131,0.0539398693685712,0.4522978076770517,31.714009960030744,36.88037879110026,85.99155160435544,1.0052459096556756,44.52882017706457,35.595733161432875,-3813.354256036255
47,BEL.NS,0.04606980914834894,0.0539398693685712,0.8540956751962796,41.34044578526895,36.853357675074186,112.175520477011,0.7705131638039728,44.489824559101024,46.17863763253568,28713.916253215924
30,IEX.NS,0.033095093933733034,0.0539398693685712,0.61355532227181,42.33414535212779,36.58602973596834,115.71123091967638,0.7461123750873305,44.10459581061179,55.901779187724976,31697.559633658588
