Date,HD,VOD,ORCL,VOO
2018-01-02,168.10223388671875,24.33869743347168,43.14543914794922,228.3187255859375
2018-01-03,168.9783935546875,24.17996597290039,44.14472961425781,229.6770782470703
2018-01-04,170.31944274902344,24.421844482421875,44.57961654663086,230.68429565429688
2018-01-05,172.0985565185547,24.62592315673828,44.847938537597656,232.1627197265625
2018-01-08,171.687255859375,24.693952560424805,45.31983947753906,232.64321899414062
2018-01-09,172.6349639892578,24.641042709350586,45.57062911987305,233.13296508789062
2018-01-10,171.4727020263672,23.922975540161133,45.32912826538086,232.7356414794922
2018-01-11,174.04750061035156,23.764245986938477,45.46845245361328,234.45431518554688
2018-01-12,175.60308837890625,24.134613037109375,45.98862075805664,236.0067138671875
2018-01-16,175.5047149658203,24.43695640563965,46.062931060791016,235.1473388671875
2018-01-17,178.64273071289062,23.673540115356445,46.6945686340332,237.4204559326172
2018-01-18,177.3106689453125,23.87006187438965,46.65740966796875,237.09701538085938
2018-01-19,179.99273681640625,23.87006187438965,46.982513427734375,238.104248046875
2018-01-22,182.791015625,24.308462142944336,47.103267669677734,240.01693725585938
2018-01-23,183.18431091308594,24.429399490356445,47.48410415649414,240.56219482421875
2018-01-24,184.36444091796875,24.467193603515625,47.7906379699707,240.44203186035156
2018-01-25,183.60452270507812,24.33869743347168,47.92997360229492,240.55296325683594
2018-01-26,185.26739501953125,24.489870071411133,48.9981803894043,243.3527374267578
2018-01-29,183.20223999023438,24.255552291870117,48.245784759521484,241.67098999023438
2018-01-30,180.42185974121094,24.232877731323242,47.33549118041992,239.09291076660156
2018-01-31,179.6082763671875,24.353816986083984,47.920692443847656,239.31472778320312
2018-02-01,178.71426391601562,23.28805160522461,47.95783615112305,239.074462890625
2018-02-02,173.41273498535156,23.46946144104004,46.56452560424805,233.95533752441406
2018-02-05,163.7036895751953,22.003089904785156,44.66961669921875,224.3454132080078
2018-02-06,170.79324340820312,22.388578414916992,45.88644027709961,228.49432373046875
2018-02-07,171.01675415039062,22.2147274017334,45.394142150878906,227.2469024658203
2018-02-08,162.0140380859375,21.466428756713867,43.50851821899414,218.80123901367188
2018-02-09,164.6066436767578,21.57225227355957,44.3352165222168,222.17398071289062
2018-02-12,164.5530242919922,21.504220962524414,44.725345611572266,225.2232666015625
2018-02-13,164.24908447265625,21.405960083007812,45.04117202758789,225.98094177246094
2018-02-14,165.11627197265625,21.51934051513672,45.932891845703125,228.93788146972656
2018-02-15,165.63478088378906,21.730979919433594,47.038246154785156,231.9039764404297
2018-02-16,167.15463256835938,21.90482521057129,47.103267669677734,231.87628173828125
2018-02-20,166.9221954345703,21.655393600463867,46.341590881347656,230.47177124023438
2018-02-21,163.65896606445312,21.353046417236328,45.914302825927734,229.26126098632812
2018-02-22,165.8135528564453,21.436195373535156,46.062931060791016,229.53846740722656
2018-02-23,168.3883819580078,21.88970947265625,46.90821075439453,233.30850219726562
2018-02-26,168.4866943359375,22.018207550048828,47.530555725097656,235.9974365234375
2018-02-27,165.37551879882812,21.60248374938965,47.12184143066406,232.98513793945312
2018-02-28,162.9527130126953,21.398401260375977,47.06611251831055,230.39779663085938
2018-03-01,160.6014404296875,21.09605598449707,46.17439270019531,227.3577423095703
2018-03-02,159.5465087890625,21.20187759399414,46.74101638793945,228.56826782226562
2018-03-05,162.4788818359375,21.436195373535156,47.642032623291016,231.19253540039062
2018-03-06,162.38951110839844,21.587364196777344,47.83707809448242,231.77462768554688
2018-03-07,160.56427001953125,21.640275955200195,48.04143524169922,231.67300415039062
2018-03-08,159.98886108398438,21.88970947265625,48.422279357910156,232.75408935546875
2018-03-09,163.7831268310547,21.950180053710938,49.20253372192383,236.7828369140625
2018-03-12,161.58030700683594,21.950180053710938,49.13751220703125,236.55186462402344
2018-03-13,160.3574676513672,21.647836685180664,48.840274810791016,234.99024963378906
2018-03-14,159.5122833251953,21.723421096801758,48.5987663269043,233.75209045410156
2018-03-15,160.1057586669922,21.496665954589844,48.645206451416016,233.53030395507812
2018-03-16,160.90594482421875,21.54201316833496,48.55231857299805,233.77052307128906
2018-03-19,159.23361206054688,21.37572479248047,48.255069732666016,230.64735412597656
2018-03-20,160.18666076660156,21.111175537109375,43.70359420776367,231.05386352539062
2018-03-21,160.0608367919922,21.29258155822754,43.675724029541016,230.51795959472656
2018-03-22,157.606201171875,20.68033218383789,42.62609100341797,224.78895568847656
2018-03-23,154.46827697753906,20.718124389648438,41.604331970214844,220.0024871826172
2018-03-26,158.5862274169922,21.05070686340332,43.17412567138672,226.05844116210938
2018-03-27,157.05770874023438,20.85417938232422,42.15237045288086,222.14120483398438
2018-03-28,157.12965393066406,20.91465187072754,41.780818939208984,221.5192413330078
2018-03-29,160.25860595703125,21.028030395507812,42.49605178833008,224.71249389648438
2018-04-02,155.45729064941406,20.725685119628906,41.80867385864258,219.5142059326172
2018-04-03,156.23049926757812,20.922208786010742,41.69721221923828,222.29896545410156
2018-04-04,159.539306640625,21.398401260375977,42.27312469482422,224.86097717285156
2018-04-05,161.0587921142578,21.7536563873291,42.69111251831055,226.4854278564453
2018-04-06,156.85093688964844,21.783889770507812,41.64148712158203,221.50071716308594
2018-04-09,155.106689453125,21.882152557373047,41.70650863647461,222.40106201171875
2018-04-10,155.98779296875,22.229846954345703,42.561073303222656,226.0677032470703
2018-04-11,155.42132568359375,22.229846954345703,42.366004943847656,224.87026977539062
2018-04-12,155.8708953857422,22.47928237915039,42.616798400878906,226.75465393066406
2018-04-13,155.36740112304688,22.5019588470459,42.80258560180664,226.12344360351562
