Date,TANLA.NS,LAURUSLABS.NS,AUROLAB.BO,HCLTECH.NS,GPIL.NS,ALKYLAMINE.NS,HINDUNILVR.NS,DIVISLAB.NS,VIDHIING.NS,ACE.NS,NELCO.NS,INFY.NS,DIAMINESQ.BO
2016-01-01,46.3861198425293,,26.799999237060547,366.2259521484375,69.71434020996094,135.121337890625,768.1416625976562,1103.9775390625,,44.95087814331055,123.20601654052734,467.717041015625,36.47661590576172
2016-01-04,45.0896110534668,,29.450000762939453,366.2692565917969,68.97532653808594,127.69745635986328,770.3388671875,1091.8218994140625,,44.80619430541992,118.5217514038086,456.56634521484375,34.7355842590332
2016-01-05,45.281681060791016,,32.349998474121094,364.9053649902344,68.97532653808594,130.49754333496094,760.4295043945312,1089.7327880859375,,45.62611770629883,121.79098510742188,454.5138244628906,39.618953704833984
2016-01-06,46.43412780761719,,32.349998474121094,364.29925537109375,68.08849334716797,127.2369384765625,756.0350952148438,1079.9512939453125,,45.43319320678711,118.86331939697266,452.52484130859375,38.26009750366211
2016-01-07,44.0331916809082,,30.75,357.22021484375,65.62509155273438,127.6421890258789,735.58837890625,1070.21728515625,,42.97343444824219,110.32427978515625,444.67498779296875,36.90125274658203
2016-01-08,44.51338577270508,,31.700000762939453,358.6489562988281,66.65972137451172,128.12120056152344,726.2618408203125,1072.828857421875,,43.118125915527344,113.64230346679688,449.9647216796875,35.499935150146484
2016-01-11,43.16885757446289,,31.299999237060547,352.67401123046875,67.59581756591797,127.95535278320312,727.9657592773438,1044.1490478515625,,43.600433349609375,112.22726440429688,446.7485046386719,36.051971435546875
2016-01-12,42.78470993041992,,30.0,350.7256774902344,65.96996307373047,129.1159210205078,735.0951538085938,1044.9090576171875,,43.118125915527344,110.51946258544922,444.31524658203125,35.45747756958008
2016-01-13,39.711509704589844,,29.049999237060547,357.8047180175781,63.112422943115234,129.02381896972656,746.7982177734375,1029.85693359375,,41.23713302612305,102.07801818847656,458.47052001953125,34.69312286376953
2016-01-14,37.35859680175781,,28.100000381469727,358.865478515625,63.55583190917969,125.57898712158203,741.8659057617188,1032.705810546875,,40.22428894042969,104.1761703491211,479.46026611328125,33.97123718261719
2016-01-15,34.76557540893555,,27.299999237060547,362.8487854003906,60.550479888916016,121.63680267333984,721.2398681640625,1022.876708984375,,38.00568771362305,95.63714599609375,482.3800964355469,33.673988342285156
