Date,ANDHRAPET.BO,ACE.NS,MANALIPETC.NS,TANLA.NS,LAURUSLABS.NS,AUROLAB.BO,CAPLIPOINT.NS,GPIL.NS,ALKYLAMINE.NS,AARTIIND.NS,BALAMINES.NS,HINDZINC.NS
2017-01-02,20.0926570892334,44.52995681762695,27.810230255126953,56.08302307128906,91.90837097167969,36.79999923706055,330.35125732421875,56.940486907958984,117.88429260253906,165.7057342529297,318.1484069824219,147.06910705566406
2017-01-03,20.185680389404297,45.2559928894043,28.43564224243164,55.65308380126953,90.00936126708984,38.95000076293945,332.2456359863281,58.13772201538086,117.44713592529297,167.64822387695312,326.7973937988281,146.98411560058594
2017-01-04,21.162405014038086,45.74001693725586,29.811567306518555,54.64989471435547,89.8487548828125,38.70000076293945,331.4684753417969,60.48430252075195,117.5801773071289,166.36119079589844,328.27874755859375,142.39442443847656
2017-01-05,22.18564224243164,46.078826904296875,29.853261947631836,56.560726165771484,90.00936126708984,41.04999923706055,331.177001953125,63.30976867675781,120.20320892333984,167.15963745117188,325.45947265625,148.4006805419922
2017-01-06,23.20888328552246,47.82130813598633,29.519710540771484,56.465179443359375,89.32910919189453,41.20000076293945,326.0281677246094,65.32112884521484,118.98673248291016,166.77830505371094,317.33612060546875,149.87393188476562
2017-01-09,23.348413467407227,48.160118103027344,30.436983108520508,55.84416961669922,89.81095123291016,40.849998474121094,335.7429504394531,64.36333465576172,116.55377197265625,166.5876007080078,313.2266540527344,152.96209716796875
2017-01-10,24.51118278503418,47.28887939453125,30.687150955200195,56.08302307128906,89.39527130126953,40.650001525878906,375.91363525390625,65.1774673461914,119.9751205444336,166.32546997070312,320.8721923828125,154.60531616210938
2017-01-11,24.557689666748047,48.547332763671875,30.31189727783203,56.13079071044922,89.76371765136719,40.54999923706055,374.4078369140625,68.67338562011719,120.35526275634766,167.1119842529297,329.61669921875,157.60845947265625
2017-01-12,24.04607391357422,48.06332015991211,30.020034790039062,55.03205871582031,89.80149841308594,39.79999923706055,369.4046936035156,67.81138610839844,119.55695343017578,166.73062133789062,331.05023193359375,156.0785675048828
2017-01-13,23.953052520751953,47.5308952331543,30.145126342773438,55.03205871582031,93.45780181884766,38.150001525878906,382.22821044921875,73.1270980834961,119.9751205444336,167.40989685058594,328.4220886230469,157.2968292236328
2017-01-16,23.767009735107422,47.33728790283203,30.18681526184082,56.13079071044922,91.69108581542969,38.0,399.6177062988281,75.61734771728516,118.53055572509766,168.5301055908203,325.50726318359375,161.91485595703125
2017-01-17,24.139097213745117,47.33728790283203,29.936656951904297,56.321876525878906,90.12273406982422,37.0,394.3716735839844,80.2147216796875,119.57595825195312,168.44668579101562,326.8452453613281,161.46153259277344
2017-01-18,24.604204177856445,46.75645446777344,30.10342788696289,59.28367233276367,90.34004211425781,38.0,403.6007385253906,81.26829528808594,121.15359497070312,169.3285369873047,329.7123107910156,164.06805419921875
