Date,AARTIDRUGS.NS,AARTIIND.NS,ABBOTINDIA.NS,ACE.NS,ADFFOODS.NS,ADORWELD.NS,AJANTPHARM.NS,ALKEM.NS,ALKYLAMINE.NS,AMRUTANJAN.NS,APCOTEXIND.NS,APLAPOLLO.NS,APOLLOHOSP.NS,ASIANPAINT.NS,ASTEC.NS,AVTNPL.NS,BALAMINES.NS,BALKRISIND.NS,BASF.NS,BEL.NS,BERGEPAINT.NS,BHARATRAS.NS,BLUEDART.NS,BRITANNIA.NS,CANTABIL.NS,CCL.NS,CDSL.NS,CENTURYPLY.NS,CIGNITITEC.NS,COROMANDEL.NS,CRISIL.NS,CYBERTECH.NS,DCMSHRIRAM.NS,DEEPAKFERT.NS,DEEPAKNTR.NS,DIVISLAB.NS,DSSL.NS,ECLERX.NS,ELGIEQUIP.NS,ESABINDIA.NS,EXPLEOSOL.NS,FCL.NS,FIEMIND.NS,FSL.NS,GLOBAL.NS,GLOBUSSPR.NS,GNA.NS,GOLDIAM.NS,GRANULES.NS,GRAVITA.NS,GRINDWELL.NS,GUFICBIO.NS,GUJGASLTD.NS,GULPOLY.NS,HATSUN.NS,HAVELLS.NS,HCLTECH.NS,HIKAL.NS,HIL.NS,HINDCOPPER.NS,HINDUNILVR.NS,HITECH.NS,INFY.NS,INTELLECT.NS,IPCALAB.NS,JBCHEPHARM.NS,JUBLFOOD.NS,JUBLINDS.NS,KEI.NS,KNRCON.NS,KOPRAN.NS,KOTHARIPET.NS,KPRMILL.NS,KSB.NS,LALPATHLAB.NS,LAURUSLABS.NS,LTI.NS,LTTS.NS,MAANALU.NS,MANINFRA.NS,MARICO.NS,MASTEK.NS,MINDTREE.NS,MIRZAINT.NS,MOLDTECH.NS,MOLDTKPAC.NS,MOREPENLAB.NS,MPHASIS.NS,NAVINFLUOR.NS,NELCO.NS,NESTLEIND.NS,NH.NS,PAGEIND.NS,PERSISTENT.NS,PIDILITIND.NS,PITTIENG.NS,POKARNA.NS,POLYMED.NS,PRAJIND.NS,PRECWIRE.NS,PREMIERPOL.NS,PRESTIGE.NS,PRIMESECU.NS,PSPPROJECT.NS,PUNJABCHEM.NS,RADICO.NS,RATNAMANI.NS,RKFORGE.NS,RSYSTEMS.NS,SAKSOFT.NS,SCHAEFFLER.NS,SFL.NS,SHANTIGEAR.NS,SOLARINDS.NS,SONATSOFTW.NS,SRF.NS,SRHHYPOLTD.NS,SUNDRMFAST.NS,SUPREMEIND.NS,TALBROAUTO.NS,TANLA.NS,TATAELXSI.NS,TCI.NS,TCS.NS,TECHM.NS,THEJO.NS,TIMKEN.NS,TITAN.NS,TRIDENT.NS,TRIVENI.NS,TTKPRESTIG.NS,VAIBHAVGBL.NS,VIDHIING.NS,VIMTALABS.NS,VINATIORGA.NS,VINYLINDIA.NS,VISHNU.NS
2018-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.5965576171875,,,,,,,,,,,
2018-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.5965576171875,,,,,,,,,,,
2018-09-06,153.75701904296875,324.06787109375,8142.65625,136.7660369873047,265.5923767089844,303.7851867675781,814.9486694335938,2030.6611328125,245.90980529785156,320.83587646484375,228.94113159179688,148.64321899414062,1100.7088623046875,1278.318115234375,705.0858764648438,29.7036075592041,539.6802978515625,1118.2642822265625,1934.1168212890625,81.48724365234375,303.0379943847656,7793.212890625,3258.325439453125,2827.566162109375,155.0518798828125,255.2451934814453,250.05239868164062,205.5637969970703,393.0540466308594,385.3163146972656,1635.326416015625,42.91659927368164,344.4536437988281,226.41624450683594,249.63421630859375,1278.4576416015625,35.42742919921875,1037.7689208984375,138.1409149169922,714.0836181640625,447.29998779296875,46.94578552246094,617.9822998046875,64.6791763305664,27.8388614654541,183.79718017578125,361.21954345703125,12.666802406311035,117.2760238647461,122.62767791748047,496.7381896972656,131.85137939453125,140.794677734375,60.357669830322266,544.3244018554688,661.9008178710938,498.3394775390625,183.77490234375,2285.252197265625,57.973262786865234,1504.9346923828125,292.0164794921875,652.9581909179688,261.2928161621094,390.68499755859375,324.80084228515625,279.6937255859375,137.5500030517578,414.50909423828125,111.38554382324219,49.86663818359375,22.35211181640625,135.66519165039062,722.0025024414062,976.257568359375,82.38983154296875,1779.3717041015625,1661.2733154296875,55.09416198730469,27.513391494750977,331.662841796875,484.1478271484375,1040.089111328125,90.59983825683594,43.04188537597656,294.7779235839844,28.149999618530273,1103.54296875,713.2801513671875,331.11920166015625,9640.8271484375,249.12738037109375,30673.96875,802.1185913085938,1131.6956787109375,76.92453002929688,146.2345428466797,213.1943817138672,80.3058090209961,43.974483489990234,25.637907028198242,226.95787048339844,36.596282958984375,472.18975830078125,666.329833984375,453.0265197753906,559.9113159179688,612.7510375976562,37.908447265625,266.1341247558594,1054.4495849609375,1659.199951171875,116.88227844238281,1144.326904296875,311.78326416015625,391.15203857421875,141.82339477539062,619.81640625,1094.9979248046875,282.91473388671875,37.35661315917969,1273.02978515625,322.409423828125,1924.6923828125,692.4083251953125,665.5965576171875,626.7529296875,847.7184448242188,5.892571926116943,35.56508255004883,536.540283203125,121.36410522460938,81.7854995727539,280.3457336425781,672.7451171875,87.54202270507812,215.7218017578125
2018-09-07,155.67359924316406,324.19927978515625,8078.69287109375,135.59707641601562,265.19970703125,356.8330383300781,821.2090454101562,2118.480224609375,241.59323120117188,311.0883483886719,228.0189208984375,150.19149780273438,1141.5780029296875,1279.77685546875,686.4815673828125,30.12196159362793,548.9561157226562,1112.514892578125,1910.90185546875,82.02306365966797,308.75299072265625,7836.525390625,3225.46240234375,2843.382568359375,154.45631408691406,254.0589141845703,249.4264373779297,202.09786987304688,394.93206787109375,382.96136474609375,1624.222412109375,41.8354606628418,360.0247497558594,223.43858337402344,251.9347686767578,1275.06005859375,36.05064392089844,1046.708740234375,136.685791015625,763.7967529296875,454.6000061035156,47.242286682128906,625.4085693359375,64.37934875488281,27.8388614654541,184.19500732421875,359.7114562988281,12.292844772338867,117.85852813720703,125.0162124633789,492.7071838378906,130.0062713623047,139.0249481201172,59.54201889038086,541.12548828125,656.5880737304688,491.5426025390625,186.51779174804688,2391.28857421875,58.51140594482422,1533.1416015625,320.6650390625,658.0316162109375,266.1749267578125,390.0936279296875,325.1789855957031,278.08502197265625,139.39999389648438,403.4417419433594,107.41280364990234,49.81901168823242,22.497886657714844,138.04910278320312,728.4541015625,979.3588256835938,81.81973266601562,1859.1749267578125,1670.056396484375,55.61436080932617,27.757143020629883,332.7333679199219,548.7039184570312,1043.63671875,90.79179382324219,43.30730056762695,298.140380859375,28.049999237060547,1097.8714599609375,721.3810424804688,332.24151611328125,9744.3642578125,252.0011749267578,32082.123046875,824.0560913085938,1139.3594970703125,76.77535247802734,148.15347290039062,210.66448974609375,86.39312744140625,43.82857894897461,25.6844425201416,225.10035705566406,37.9295654296875,466.29156494140625,657.7120361328125,466.9643249511719,569.5923461914062,628.8301391601562,38.185482025146484,282.96087646484375,1065.6732177734375,1714.199951171875,117.06376647949219,1135.6842041015625,307.14166259765625,396.56231689453125,170.1690673828125,615.0512084960938,1085.6162109375,283.0550537109375,39.19065856933594,1282.959716796875,335.01708984375,1928.9119873046875,689.8623046875,632.3167114257812,629.5512084960938,848.0117797851562,5.866401672363281,36.134117126464844,531.3504638671875,121.91919708251953,82.12403106689453,305.76531982421875,665.0438232421875,87.67526245117188,222.3309783935547
2018-09-10,153.85595703125,318.18804931640625,8240.953125,134.23333740234375,265.39599609375,342.4728088378906,794.1343994140625,2056.45361328125,243.32373046875,305.0145263671875,225.045166015625,149.06326293945312,1113.314208984375,1257.5072021484375,677.500244140625,29.843053817749023,541.70947265625,1107.66845703125,1911.050537109375,81.21935272216797,293.46429443359375,7774.4794921875,3211.072265625,2781.713623046875,155.3496856689453,255.71974182128906,249.52273559570312,190.91903686523438,388.70489501953125,376.7914123535156,1614.0863037109375,42.39952850341797,354.1280212402344,219.2201690673828,245.7183837890625,1241.3756103515625,36.09858322143555,1084.057373046875,135.5169219970703,752.8631591796875,464.0,46.20454025268555,625.5824584960938,64.593505859375,27.8388614654541,180.9129180908203,379.5115966796875,12.451977729797363,115.81979370117188,121.81556701660156,482.1612243652344,127.06404876708984,136.69793701171875,60.93341827392578,539.707763671875,625.1989135742188,498.2935791015625,190.8487091064453,2401.423583984375,57.386192321777344,1506.5252685546875,334.2669372558594,656.2805786132812,254.9659881591797,380.1145935058594,322.8153991699219,274.4825439453125,136.75,403.4909362792969,103.29108428955078,50.057151794433594,22.40070343017578,134.9263916015625,732.2684326171875,964.3372192382812,82.75090026855469,1815.276123046875,1646.33203125,55.07051467895508,27.39151382446289,320.6322021484375,560.4246826171875,1029.8948974609375,90.79179382324219,41.71479415893555,291.04180908203125,27.950000762939453,1097.516845703125,708.0410766601562,322.8241271972656,9635.9296875,251.6543426513672,31323.18359375,838.6495361328125,1123.4913330078125,75.5322265625,145.15200805664062,208.76702880859375,87.23597717285156,44.76788330078125,25.73097038269043,220.677978515625,38.803096771240234,466.24359130859375,659.5834350585938,447.7381286621094,568.13232421875,620.865234375,38.554874420166016,282.5859069824219,1062.321533203125,1693.5999755859375,117.10913848876953,1129.3494873046875,302.5836486816406,384.2269592285156,192.53224182128906,599.74462890625,1085.9876708984375,276.5050964355469,38.804542541503906,1270.346923828125,329.8200378417969,1929.7469482421875,684.5466918945312,637.1689453125,621.2988891601562,838.3335571289062,5.7442755699157715,41.72969436645508,523.63330078125,122.25045776367188,81.20510864257812,306.3983459472656,650.521484375,87.23111724853516,217.08250427246094
2018-09-11,154.1527099609375,313.3272399902344,8082.671875,129.16793823242188,264.6598815917969,336.4263916015625,750.021240234375,2045.3377685546875,252.85134887695312,306.8758544921875,223.4641876220703,150.35264587402344,1091.5504150390625,1262.126220703125,662.9425659179688,28.820398330688477,517.0225830078125,1081.7728271484375,1875.856689453125,79.03146362304688,292.48736572265625,7657.1826171875,3168.63330078125,2711.4404296875,154.15850830078125,260.2751159667969,249.3782958984375,194.18968200683594,389.4956359863281,376.1791076660156,1602.9818115234375,42.54054641723633,344.5457458496094,217.49656677246094,249.1936798095703,1208.22509765625,36.62592315673828,1089.8187255859375,135.08753967285156,751.716552734375,454.0,46.99520492553711,621.4968872070312,62.9658203125,27.8388614654541,160.3252410888672,395.07928466796875,11.879105567932129,111.06273651123047,122.48436737060547,482.1143798828125,122.77537536621094,136.6001739501953,58.63041687011719,534.9821166992188,616.669189453125,496.64599609375,179.10714721679688,2406.206298828125,57.484031677246094,1488.1417236328125,329.4838562011719,659.3785400390625,250.38278198242188,377.2564392089844,324.28082275390625,267.1297912597656,135.5500030517578,404.47711181640625,102.32274627685547,48.961708068847656,22.254928588867188,135.16281127929688,707.8280639648438,960.0244750976562,81.895751953125,1787.3189697265625,1606.6641845703125,54.12469482421875,27.056358337402344,313.65087890625,516.633544921875,1043.0528564453125,90.1199722290039,44.634395599365234,297.2997741699219,27.600000381469727,1115.94921875,677.1891479492188,315.94415283203125,9372.32421875,248.23553466796875,32287.7421875,831.352783203125,1094.2115478515625,74.53772735595703,143.38067626953125,208.23184204101562,90.13916778564453,44.86820602416992,25.172611236572266,216.9926300048828,38.757118225097656,461.0167541503906,653.033935546875,435.77734375,560.800048828125,618.0277709960938,38.78573989868164,286.5231018066406,1045.4473876953125,1752.550048828125,115.15806579589844,1108.037109375,307.72711181640625,382.0037841796875,189.39854431152344,594.2574462890625,1068.6644287109375,273.5107727050781,38.41843032836914,1234.815185546875,327.02899169921875,1897.7501220703125,667.5280151367188,642.0703735351562,617.6943359375,802.3583374023438,5.652681350708008,38.78965377807617,523.760498046875,121.50735473632812,79.36722564697266,304.2070007324219,661.5477294921875,85.72100830078125,219.90115356445312
2018-09-12,154.79568481445312,311.2342529296875,8102.95556640625,123.5180435180664,260.78302001953125,329.9548645019531,768.2214965820312,2049.138916015625,254.67910766601562,302.6143798828125,223.99118041992188,149.5370330810547,1092.9847412109375,1255.46484375,582.2583618164062,27.844223022460938,521.0324096679688,1101.586669921875,1862.7891845703125,78.27241516113281,295.66229248046875,7574.10546875,3104.220458984375,2745.880859375,153.16586303710938,259.4209899902344,249.3782958984375,199.3153533935547,384.4051818847656,374.95452880859375,1601.0009765625,41.7884521484375,347.5863037109375,212.915283203125,247.96998596191406,1234.3377685546875,36.86561965942383,1087.8817138671875,137.11517333984375,733.4119873046875,452.20001220703125,46.30337142944336,612.5866088867188,61.85214614868164,26.362558364868164,186.38307189941406,397.463134765625,12.025260925292969,104.5096206665039,117.22957611083984,484.6454162597656,121.42893981933594,142.1830596923828,59.302127838134766,536.5816040039062,630.4142456054688,497.4241027832031,184.49673461914062,2313.052001953125,56.603424072265625,1522.008544921875,335.3630676269531,667.1012573242188,266.3243713378906,379.1290588378906,323.71356201171875,265.51116943359375,134.5500030517578,394.171630859375,99.79012298583984,48.533050537109375,22.449295043945312,133.7738494873047,718.89453125,955.421142578125,83.26400756835938,1778.1893310546875,1559.0247802734375,54.0774040222168,27.12534523010254,320.5392150878906,537.8138427734375,1029.535400390625,89.7840576171875,42.46681213378906,292.3027648925781,27.25,1113.910888671875,723.9520263671875,308.234619140625,9658.037109375,253.5867156982422,32690.44921875,797.2855834960938,1081.733154296875,75.43278503417969,140.625244140625,209.44818115234375,91.40345764160156,44.202476501464844,25.917089462280273,214.29005432128906,36.55030822753906,459.4342956542969,666.576171875,414.3270568847656,553.4678344726562,635.9047241210938,38.92426300048828,271.2899475097656,1058.612548828125,1738.25,118.28885650634766,1104.4033203125,311.2396545410156,391.1716613769531,175.48684692382812,604.3655395507812,1062.8125,269.39361572265625,38.22536849975586,1255.7579345703125,323.4198913574219,1895.617431640625,660.9169921875,674.173828125,613.6156005859375,807.9306030273438,5.539278984069824,40.40193176269531,526.2223510742188,122.1698989868164,78.49665832519531,306.0087890625,648.9324340820312,86.2095718383789,218.58901977539062
2018-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.173828125,,,,,,,,,,,
2018-09-14,158.39385986328125,316.7956237792969,8044.1201171875,126.09944915771484,258.0348205566406,332.6001281738281,783.2271728515625,2017.04345703125,253.84298706054688,304.4267272949219,229.12936401367188,148.40390014648438,1104.7073974609375,1297.18408203125,617.9865112304688,28.169612884521484,521.805419921875,1103.392333984375,1895.359375,79.29936981201172,304.1126403808594,7632.0048828125,3071.74658203125,2790.06689453125,153.01695251464844,254.29617309570312,251.06361389160156,203.6111602783203,400.0719909667969,383.5736389160156,1611.045166015625,42.587554931640625,359.9325866699219,213.777099609375,268.08758544921875,1290.6405029296875,36.24240493774414,1125.329833984375,140.78872680664062,751.3070068359375,456.1499938964844,47.09403610229492,629.4072265625,62.32331466674805,26.362558364868164,183.200439453125,398.72802734375,11.903465270996094,115.3829116821289,116.36970520019531,495.5195007324219,125.16905212402344,139.83648681640625,59.254146575927734,537.7449340820312,642.9893188476562,490.0551452636719,183.67864990234375,2384.70556640625,57.63079833984375,1524.30078125,336.01080322265625,658.8397827148438,274.9926452636719,383.3424377441406,322.4372253417969,263.66552734375,136.85000610351562,399.2997131347656,103.21661376953125,49.390350341796875,22.30352210998535,134.84759521484375,713.9969482421875,955.6635131835938,84.1856689453125,1778.472900390625,1559.59765625,54.12469482421875,27.627086639404297,322.4473571777344,546.673583984375,1027.828857421875,91.07971954345703,42.28986740112305,298.4672546386719,27.049999237060547,1096.896728515625,739.9116821289062,307.5027160644531,9640.7333984375,249.47422790527344,32621.328125,803.3504638671875,1116.81005859375,73.4935073852539,140.03480529785156,209.69142150878906,100.86222076416016,43.71001434326172,25.358728408813477,230.50555419921875,38.38931655883789,464.37347412109375,658.401611328125,412.4983215332031,559.7525634765625,660.05615234375,38.50870132446289,270.9618835449219,1050.218994140625,1707.9000244140625,117.83512115478516,1094.0419921875,329.8479309082031,395.09661865234375,176.67385864257812,604.8949584960938,1065.3668212890625,276.5893249511719,39.39255905151367,1266.864501953125,324.9116516113281,1915.5106201171875,679.3651733398438,674.173828125,618.9274291992188,823.7186279296875,5.652681350708008,46.18718719482422,530.8458251953125,122.93989562988281,78.5933837890625,315.45587158203125,656.3645629882812,86.47606658935547,220.6880340576172
2018-09-17,160.00128173828125,319.797607421875,8095.5703125,123.7615737915039,254.01068115234375,328.8211364746094,778.09619140625,1992.646484375,251.548583984375,299.185546875,242.04074096679688,151.8716278076172,1107.1805419921875,1272.62890625,597.704345703125,28.587974548339844,522.626708984375,1084.7186279296875,1862.838623046875,77.78125762939453,297.81158447265625,7492.67724609375,3077.3369140625,2748.734130859375,154.90298461914062,251.78114318847656,250.53392028808594,207.0771026611328,383.0213317871094,388.61328125,1609.847412109375,43.0106086730957,382.64434814453125,218.85731506347656,261.8711853027344,1324.7615966796875,37.10531997680664,1166.70166015625,137.09132385253906,749.8737182617188,459.29998779296875,46.25395584106445,628.6248779296875,63.30849838256836,26.362558364868164,190.16246032714844,404.6632080078125,11.700471878051758,113.58688354492188,110.68497467041016,495.05078125,125.66773223876953,141.23463439941406,59.446067810058594,530.7655029296875,650.1055297851562,493.5794677734375,185.4110107421875,2340.33056640625,59.34309005737305,1501.98779296875,336.7581481933594,651.880615234375,271.3061218261719,375.2852783203125,317.8046875,268.2450256347656,134.3000030517578,385.1481628417969,101.15574645996094,49.58087158203125,22.206336975097656,135.20220947265625,711.0773315429688,939.8180541992188,83.22598266601562,1764.8963623046875,1603.1318359375,53.86459732055664,27.470293045043945,319.1429138183594,539.84423828125,1034.9693603515625,90.35301208496094,41.62632369995117,303.27752685546875,28.350000381469727,1085.59814453125,715.1234130859375,308.3810119628906,9491.115234375,251.1588592529297,31772.228515625,803.4451293945312,1090.134033203125,72.79735565185547,139.6411590576172,210.71311950683594,108.26065063476562,42.46064376831055,26.149736404418945,235.321044921875,40.09040069580078,451.090576171875,650.325439453125,403.6018371582031,562.5457763671875,692.224853515625,39.20130157470703,268.9464416503906,1055.92724609375,1673.0999755859375,118.56108093261719,1089.769775390625,342.7273864746094,398.4214782714844,168.83961486816406,609.082763671875,1054.0811767578125,275.1239013671875,39.83025360107422,1284.7950439453125,323.2274475097656,1923.6256103515625,685.7080688476562,674.4188842773438,615.1806640625,804.997802734375,5.648319721221924,50.97661590576172,524.4655151367188,129.896728515625,77.62608337402344,325.3899841308594,644.8984985351562,85.80982971191406,224.59317016601562
