Date,Close,High,Low,Open,Volume
2022-03-07,1366.6612548828125,1410.4283717797193,1356.9245461953012,1389.1713994080453,295913
2022-03-08,1362.8531494140625,1388.20725963062,1326.7019186945151,1377.602898619553,322347
2022-03-09,1378.5670166015625,1405.5599372063484,1364.7331683275688,1397.8476741764096,275854
2022-03-10,1432.504638671875,1463.4019401454148,1419.2974350323366,1422.093153974371,281654
2022-03-11,1453.8580322265625,1482.6826402511504,1417.2730297552246,1434.4809939490974,186902
2022-03-14,1436.4090576171875,1464.366012429871,1417.1283991256817,1464.366012429871,150461
2022-03-15,1403.5836181640625,1449.8571961930656,1397.847669626135,1436.4089846503043,142988
2022-03-16,1410.95849609375,1442.4341930827768,1398.6670769045736,1435.4449547203037,157337
2022-03-17,1413.2239990234375,1450.3392661025816,1369.1194933384807,1431.8298812804865,323869
2022-03-21,1412.067138671875,1486.5386774753583,1397.8476539165174,1443.0608188101894,275163
2022-03-22,1396.9320068359375,1429.950135694098,1374.3736120508977,1429.950135694098,198693
2022-03-23,1369.697998046875,1412.259956644833,1364.2029398822976,1412.259956644833,226302
2022-03-24,1362.8531494140625,1397.799339109625,1340.0056186712236,1340.0056186712236,231903
2022-03-25,1332.29345703125,1374.9519125114473,1306.2645689416381,1371.818805611772,326515
2022-03-28,1271.65576171875,1329.112098429308,1254.2550386613655,1321.8337207173668,353690
2022-03-29,1390.5692138671875,1398.8117422597966,1278.3558781012805,1287.2249337370044,971956
2022-03-30,1405.31884765625,1448.941332894765,1398.8116261013333,1412.2598369095792,468069
2022-03-31,1471.06591796875,1484.562378213561,1380.3023169662315,1419.827664826035,546632
2022-04-01,1430.817626953125,1499.0712054365622,1412.5010012918424,1483.6466785639032,501016
2022-04-04,1426.527587890625,1468.6557757170503,1417.369275956203,1446.0975015171477,291803
2022-04-05,1433.70947265625,1455.6894666416922,1425.8526998112466,1440.8433386115098,219654
2022-04-06,1439.5421142578125,1459.9314334351934,1424.3103475105058,1433.7096681962676,146753
2022-04-07,1550.357666015625,1576.0974151084167,1441.2291885747286,1441.2291885747286,1409105
2022-04-08,1553.731689453125,1579.4231883122775,1505.3372876986114,1561.7332091397698,473567
2022-04-11,1535.80078125,1566.5052054150217,1524.1360067582712,1555.94909228833,275196
2022-04-12,1496.61279296875,1544.3806691005507,1487.5027293521532,1543.7540241944823,264830
2022-04-13,1469.137939453125,1539.897980188428,1463.4502392989261,1503.8913737190005,269878
2022-04-18,1416.646240234375,1463.353583662191,1410.3800268546381,1463.353583662191,198773
2022-04-19,1420.0205078125,1459.738617510352,1373.7469271098523,1422.430590140763,275297
2022-04-20,1424.2139892578125,1454.7256542497053,1408.403826073281,1427.7327328984848,185091
2022-04-21,1437.614013671875,1472.7529646206383,1431.5888082499475,1431.5888082499475,139433
2022-04-22,1418.140625,1445.0852971103598,1413.272211850425,1434.480935357048,112325
2022-04-25,1368.3963623046875,1409.416006557888,1356.3942005656281,1409.416006557888,142786
2022-04-26,1459.7386474609375,1468.6078212188013,1388.2074495623542,1388.2074495623542,413897
2022-04-27,1416.2606201171875,1444.1694414117121,1408.4519776579168,1440.265061342182,123255
2022-04-28,1435.059326171875,1455.6896534050984,1418.1406196822293,1421.9485024983576,181199
2022-04-29,1366.6612548828125,1447.9291571896454,1349.6460507781148,1447.9291571896454,253179
2022-05-02,1378.95263671875,1415.8750249230252,1327.617886542587,1352.5381126226623,363041
2022-05-04,1385.6527099609375,1449.9055283537998,1383.387256108845,1394.7146430491089,286024
2022-05-05,1368.7340087890625,1430.6248761714596,1359.2864389499719,1426.7687444297576,170399
2022-05-06,1318.2186279296875,1347.5252520021174,1307.8552741215606,1340.0057482136035,246560
2022-05-09,1261.870849609375,1326.7985612263694,1256.1349007798062,1301.4444482369445,232094
2022-05-10,1180.8919677734375,1280.717614369608,1154.9113300826425,1261.8707254753924,274941
2022-05-11,1135.05224609375,1211.7409849851758,1117.024762064925,1180.9401839929474,321532
2022-05-12,1128.4969482421875,1174.0957538696414,1102.6126870589928,1120.206288404415,378417
2022-05-13,1138.7637939453125,1178.3855201923407,1127.9184244791668,1156.8394097222222,249337
2022-05-16,1164.4071044921875,1180.940292117796,1138.763853113589,1176.0718789436776,174866
2022-05-17,1256.6650390625,1268.6672006901226,1143.3429331447458,1175.156016444726,298926
2022-05-18,1215.5008544921875,1272.523423878458,1206.8728071370515,1271.5593909815805,290750
2022-05-19,1122.6163330078125,1180.940324546647,1110.5659215328467,1180.940324546647,373306
2022-05-20,1130.1839599609375,1176.071903000192,1103.0464099734593,1156.8394934927937,343145
2022-05-23,1172.987060546875,1216.7541788425049,1115.72348131214,1136.594817657502,386757
2022-05-24,1253.6285400390625,1262.8832333274852,1173.228164091259,1188.2670553949222,626450
2022-05-25,1234.829833984375,1250.6399979617083,1214.6815217152018,1244.5665432812107,260947
2022-05-26,1258.9786376953125,1280.1873601309946,1227.310182503445,1242.6383281633732,241210
2022-05-27,1232.37158203125,1284.091976857298,1226.973020679524,1273.487613685053,235001
2022-05-30,1275.1744384765625,1309.060216321688,1248.036890508085,1248.036890508085,358156
2022-05-31,1280.7176513671875,1311.0846863826685,1253.2427149246096,1281.5853044750168,283616
2022-06-01,1313.832275390625,1330.269084172711,1280.7177672700361,1280.7177672700361,234934
2022-06-02,1362.8531494140625,1371.8187017044252,1306.264469999646,1320.724962287465,321270
2022-06-03,1354.466064453125,1396.835258329763,1347.9105944358157,1381.3626027209266,230928
2022-06-06,1308.6746826171875,1354.4662460973468,1293.732172428925,1354.4662460973468,119251
2022-06-07,1289.2012939453125,1298.0221011765486,1277.3436417462378,1282.6458229006562,99586
2022-06-08,1290.936279296875,1311.0845880461884,1277.3434405597056,1298.5039131257438,70111
2022-06-09,1273.7767333984375,1286.6465492346558,1255.5082391124477,1269.8241043163264,126237
2022-06-10,1230.877197265625,1266.6427926771812,1224.3217267747568,1253.2427124466014,160242
2022-06-13,1148.838134765625,1190.5808127627554,1141.7043843633683,1177.0843501079548,214898
2022-06-14,1100.443603515625,1175.1561565357397,1084.1514232565685,1137.5588717901335,281554
2022-06-15,1117.8924560546875,1135.5343040721957,1108.6377643404987,1119.338505312523,133144
2022-06-16,1041.2518310546875,1165.3229262767777,1036.3352871816903,1147.199062089499,300821
2022-06-17,1036.094482421875,1067.521935161282,1005.6310626970499,1021.8749954567922,355542
2022-06-20,957.9113159179688,1050.9886219311168,945.909094528738,1045.9756979162482,336153
2022-06-21,974.974609375,1005.4862729283925,964.9968928104706,983.3135171495305,225900
2022-06-22,931.978759765625,977.5293120272498,927.39960371816,977.5293120272498,246303
2022-06-23,914.3369750976562,931.9787646148613,904.2628199728368,931.9787646148613,380301
