Date,AARTIIND.NS,ACE.NS,ALKYLAMINE.NS,ANDHRAPET.BO,APOLLOPIPE.NS,AUROLAB.BO,BALAMINES.NS,CANTABIL.NS,CAPLIPOINT.NS,CDSL.NS,DIVISLAB.NS,DSSL.NS,GLOBAL.NS,GPIL.NS,GRAVITA.NS,HINDZINC.NS,IOLCP.NS,LAURUSLABS.NS,MANALIPETC.NS,MANINFRA.NS,MIRZAINT.BO,TANLA.NS,TRIDENT.NS,VINATIORGA.NS
2018-11-12,330.2777099609375,100.58293151855469,305.8560485839844,61.487247467041016,,67.9000015258789,448.4695129394531,129.31179809570312,431.6202697753906,234.3192138671875,1467.50830078125,33.31808090209961,14.552130699157715,372.77099609375,73.85367584228516,193.28326416015625,152.17848205566406,69.36998748779297,29.380727767944336,24.804798126220703,83.8150405883789,31.595870971679688,6.243985176086426,741.2982177734375
2018-11-13,328.427001953125,97.8499526977539,307.4504699707031,60.37099838256836,,68.55000305175781,454.3634338378906,130.30345153808594,427.0254211425781,230.9391326904297,1485.806640625,35.139793395996094,14.763031959533691,368.2215270996094,70.98743438720703,194.78814697265625,149.9575958251953,69.142333984375,30.07204246520996,24.742076873779297,80.47212982177734,31.253503799438477,6.191145896911621,738.071044921875
2018-11-14,343.4596862792969,97.31312561035156,311.31982421875,58.60358428955078,,66.0,463.73577880859375,128.3201446533203,418.8623046875,229.32052612304688,1459.83935546875,35.57124710083008,14.763031959533691,365.2523498535156,72.94602966308594,194.23757934570312,155.07525634765625,70.84979248046875,29.985628128051758,24.71072006225586,79.16403198242188,30.9111328125,6.054640293121338,736.873046875
2018-11-15,342.85076904296875,94.18973541259766,304.12548828125,54.55714797973633,,66.9000015258789,455.6195373535156,130.94802856445312,420.7686462402344,228.55882263183594,1486.0008544921875,36.05064392089844,14.763031959533691,352.4659423828125,72.56385803222656,195.77914428710938,170.42831420898438,72.519287109375,29.596763610839844,24.64800262451172,78.58265686035156,30.373123168945312,5.992993354797363,764.3041381835938
2018-11-16,342.95819091796875,89.60225677490234,293.6840515136719,51.06884002685547,,67.0,473.1080017089844,129.9563751220703,414.2674560546875,227.511474609375,1513.0843505859375,36.05064392089844,14.763031959533691,325.2168273925781,72.7071762084961,195.77914428710938,164.44158935546875,75.72550964355469,29.596763610839844,24.083545684814453,77.7105941772461,29.443832397460938,6.063446998596191,759.8056640625
2018-11-19,346.8029479980469,87.55252838134766,300.8783264160156,55.76643371582031,,64.80000305175781,479.5333557128906,128.8655548095703,414.85406494140625,227.55908203125,1516.5303955078125,36.721797943115234,15.079383850097656,329.86212158203125,72.51609802246094,195.44879150390625,164.77952575683594,76.06700134277344,29.596763610839844,23.832674026489258,77.8559341430664,29.981842041015625,6.01060676574707,763.521728515625
2018-11-20,356.2117614746094,85.74681854248047,294.5201110839844,56.65013122558594,,64.25,464.9918212890625,126.43600463867188,400.9229431152344,226.79737854003906,1489.3984375,35.09185028076172,15.240371704101562,319.4222412109375,71.22628784179688,193.46678161621094,161.39993286132812,75.2132797241211,29.380727767944336,23.362289428710938,77.8559341430664,29.932931900024414,5.843278884887695,729.2695922851562
2018-11-21,358.09832763671875,91.35916137695312,290.32012939453125,55.161781311035156,,64.80000305175781,463.25262451171875,127.37806701660156,404.246826171875,222.70321655273438,1493.5723876953125,34.75627136230469,15.240371704101562,302.7088317871094,68.7421875,195.19187927246094,156.8616180419922,75.57373046875,29.337522506713867,23.3309326171875,77.7105941772461,29.88401985168457,5.896119117736816,734.5016479492188
2018-11-22,351.11334228515625,93.94572448730469,290.2812805175781,53.71995162963867,,62.70000076293945,453.3489685058594,128.3697052001953,399.1631774902344,221.7034912109375,1484.544677734375,34.852149963378906,15.240371704101562,279.0035705566406,68.7421875,193.13645935058594,155.89602661132812,73.76193237304688,29.07828140258789,23.0487060546875,77.61369323730469,29.835113525390625,5.834471702575684,726.6781616210938
2018-11-26,350.92230224609375,90.57832336425781,280.6564636230469,53.53391647338867,,61.400001525878906,445.7641296386719,127.22932434082031,391.6843566894531,221.4178466796875,1461.9752197265625,34.94803237915039,15.294034957885742,265.40301513671875,68.26448822021484,192.8061065673828,150.82662963867188,72.05448913574219,28.300556182861328,23.550443649291992,78.97024536132812,29.59056282043457,5.689160346984863,714.6495361328125
2018-11-27,355.4834289550781,90.09028625488281,282.1925354003906,52.789737701416016,,61.650001525878906,449.5323181152344,129.90679931640625,395.7415466308594,220.41812133789062,1478.57470703125,34.94803237915039,15.294034957885742,249.5037078857422,68.07341003417969,194.05406188964844,164.97268676757812,73.0125732421875,27.868486404418945,23.48772621154785,79.5516128540039,29.59056282043457,5.697967052459717,696.77783203125
2018-11-28,353.5014343261719,88.28457641601562,284.09808349609375,51.5339469909668,,61.79999923706055,441.56103515625,129.11346435546875,396.3280944824219,220.41812133789062,1436.784423828125,35.139793395996094,15.551619529724121,273.5441589355469,66.0670394897461,191.63156127929688,167.09698486328125,71.1817855834961,27.868486404418945,23.236858367919922,77.46835327148438,29.63947105407715,5.601093769073486,680.5197143554688
2018-11-29,347.50738525390625,87.1133041381836,292.0118103027344,51.30139923095703,,62.0,442.4306335449219,130.25387573242188,394.4217224121094,225.8928680419922,1413.923828125,36.769737243652344,16.09898567199707,278.0458068847656,68.07341003417969,192.69598388671875,164.05535888671875,71.20075988769531,27.522830963134766,23.080062866210938,74.65837097167969,29.443832397460938,5.645126819610596,703.8922729492188
