name,bse_code,nse_code,industry,current_price,price_to_earning,market_capitalization,roce,eps_last_year,roe,book_value,price_to_book_value,graham_number,historical_pe_7years,current_ratio,peg_ratio,debt_equity,z_score,f_score,npm_last_year,growth,eps,industry_pe,quick_ratio,debtor_days,number_of_equity_shares,intrinsic_value,enterprise_value,return_on_invested_capital,debt_equity_norm,current_ratio_norm,growth_norm,roce_norm,roe_norm,final_score
Bayer Crop Sci.,506285.0,BAYERCROP,Pesticides / Agrochemicals - Multinational,4737.95,40.89,21293.34,33.91,164.77,26.7,685.82,6.91,1337.09,38.31,2.22,2.4,0.01,9.27,9.0,14.55,6.19,115.86,40.89,1.57,68.67,4.49,2295.03,20409.44,28.12,0.9852941176470589,0.11138986452584046,0.06382759331820995,0.5836488812392426,0.4679284963196635,0.39634446439356064
Adani Power,533096.0,ADANIPOWER,Power Generation And Supply,512.0,15.32,197475.27,32.25,54.0,57.06,145.07,3.53,332.19,15.33,1.75,0.17,0.67,4.87,8.0,41.37,24.29,33.81,28.38,1.51,84.65,385.69,406.04,229058.6,30.11,0.014705882352941235,0.08780732563973909,0.2504640131985976,0.555077452667814,1.0,0.39339884131410124
Gabriel India,505714.0,GABRIEL,Auto Ancillaries,509.6,34.77,7320.1,26.72,12.89,19.58,74.89,6.8,157.15,21.88,1.9,2.46,0.01,10.71,9.0,5.5,25.41,14.66,24.58,1.5,49.46,14.36,220.73,7284.96,22.91,0.9852941176470589,0.09533366783743101,0.26201278614147244,0.4598967297762478,0.3431475639677532,0.3929729064987134
Godawari Power,532734.0,GPIL,Steel - Large,172.83,14.3,11561.89,29.19,13.76,21.89,67.67,2.55,135.0,5.39,3.76,0.48,0.01,6.68,8.0,16.89,11.3,11.97,16.51,2.3,14.21,66.9,177.16,10823.55,23.71,0.9852941176470589,0.18866031108881082,0.11651886987007631,0.5024096385542168,0.38363126533473535,0.3918640781101305
Grauer & Weil,505710.0,GRAUWEIL,Chemicals,89.38,25.23,4052.59,26.06,3.23,19.62,19.18,4.66,39.1,18.82,3.13,1.53,0.01,8.56,9.0,13.63,20.84,3.54,28.35,2.6,63.47,45.34,49.31,3606.64,18.97,0.9852941176470589,0.15704967385850477,0.2148896679727779,0.44853700516351114,0.3438485804416404,0.39140358653298457
Supreme Inds.,509930.0,SUPREMEIND,Plastics Products,3343.75,41.57,42474.61,28.56,84.21,21.73,417.71,8.01,869.47,36.14,2.54,1.99,0.01,13.72,8.0,10.19,16.83,80.44,26.66,1.21,18.42,12.7,1742.75,41865.65,24.04,0.9852941176470589,0.12744606121424987,0.1735409362755207,0.4915662650602409,0.3808271994391868,0.3911472568586745
Styrenix Perfor.,506222.0,STYRENIX,Petrochemicals,2779.05,21.41,4888.35,31.4,98.47,23.96,457.57,6.07,1156.23,15.81,2.51,0.28,0.03,11.09,8.0,7.75,10.85,129.85,17.82,1.33,48.76,1.76,1361.54,4869.38,25.47,0.9558823529411765,0.12594079277471149,0.1118787378840998,0.540447504302926,0.41990886785839465,0.3886114703994079
Nitiraj Engineer,,NITIRAJ,Electronics - Components,362.45,30.21,371.55,21.0,11.75,16.14,74.65,4.86,141.96,27.02,4.75,1.94,0.0,10.36,9.0,11.83,23.44,12.0,49.26,2.31,46.48,1.03,124.73,366.65,19.78,1.0,0.23833416959357753,0.2416993194473087,0.3614457831325301,0.28286014721345953,0.38695284984974065
Vinyoflex,530401.0,,Plastics Products,67.26,9.28,29.05,16.36,8.52,12.97,74.95,0.9,110.55,8.17,10.93,0.59,0.02,5.12,8.0,8.07,9.52,7.25,26.66,7.55,99.37,0.43,86.1,21.48,12.22,0.9705882352941176,0.5484194681384847,0.09816457001443596,0.28158347676419965,0.22730459165790395,0.38159088510984435
Par Drugs & Che.,,PAR,Pharmaceuticals - Indian - Bulk Drugs,97.74,7.79,120.27,25.0,11.78,18.48,78.64,1.24,148.95,18.74,3.2,0.19,0.0,4.66,8.0,15.15,16.33,12.54,25.37,2.87,52.32,1.23,289.52,101.49,16.46,1.0,0.16056196688409435,0.16838523406888015,0.43029259896729777,0.323869610935857,0.3750411438746699
Sharda Ispat,513548.0,,Steel - Medium / Small,275.5,13.01,139.95,31.02,27.52,31.27,108.83,2.53,227.81,10.44,2.74,0.85,0.48,7.46,8.0,6.19,33.69,21.19,22.58,1.64,20.69,0.51,398.89,165.79,20.54,0.2941176470588236,0.13748118414450577,0.34739121468343986,0.533907056798623,0.5480196284612688,0.3748470246105631
Mazda,523792.0,MAZDA,Engineering,233.56,16.31,467.7,21.26,15.76,15.86,108.67,2.15,187.22,13.08,5.93,0.93,0.0,6.14,8.0,14.0,13.93,14.34,31.58,4.67,53.72,2.0,296.91,462.44,23.36,1.0,0.2975413948820873,0.14363786347700555,0.36592082616179006,0.27795303189624954,0.37419251645727675
Mayur Uniquoters,522249.0,MAYURUNIQ,Leather / Leather Products,461.25,14.69,2027.31,18.75,27.2,14.59,200.56,2.3,376.38,19.64,7.04,2.28,0.01,6.63,8.0,15.51,15.13,31.39,54.19,5.35,112.08,4.4,333.92,1993.01,17.94,0.9852941176470589,0.3532363271450075,0.15601154877294288,0.3227194492254733,0.25569575885033297,0.37312731188445736
Jyothy Labs,532926.0,JYOTHYLAB,Personal Care - Indian,330.8,32.63,12147.46,26.99,10.06,21.21,51.36,6.44,108.24,34.83,2.41,2.59,0.03,10.87,9.0,12.92,13.03,10.14,32.5,1.82,26.66,36.72,143.19,12060.9,22.26,0.9558823529411765,0.12092323130958355,0.13435759950505258,0.46454388984509465,0.37171398527865407,0.3684079741041061
Bhatia Communic.,540956.0,,Trading,24.14,21.78,302.12,21.14,0.92,19.1,6.58,3.67,12.81,27.59,3.01,1.2,0.19,9.05,8.0,2.78,33.78,1.11,37.09,0.87,5.39,12.52,22.53,309.19,16.23,0.7205882352941176,0.1510286001003512,0.34831924108063517,0.363855421686747,0.3347353662811076,0.36509192317791755
Anuh Pharma,506260.0,ANUHPHR,Pharmaceuticals - Indian - Bulk Drugs,153.52,15.31,769.32,25.58,11.99,19.49,60.49,2.54,116.82,18.69,2.43,0.82,0.05,6.29,8.0,8.02,14.42,10.03,25.37,1.88,107.16,5.01,159.68,777.97,29.26,0.9264705882352942,0.12192674360260915,0.1486904516395133,0.44027538726333904,0.34157027690150715,0.35689768269866357
Veedol Corporat,590005.0,VEEDOL,Chemicals,1415.65,15.59,2466.63,23.67,82.03,17.97,500.14,2.83,990.7,16.93,2.93,1.92,0.03,6.91,8.0,7.41,15.34,87.22,28.35,1.75,43.7,1.74,997.29,2422.38,18.28,0.9558823529411765,0.1470145509282489,0.1581769436997319,0.40740103270223754,0.314931650893796,0.35679603577096597
Kirl. Brothers,500241.0,KIRLOSBROS,Pumps,1578.2,28.82,12532.32,27.3,43.84,21.68,233.36,6.76,533.34,24.47,1.9,0.19,0.09,9.23,8.0,8.5,13.78,54.18,34.72,1.17,47.84,7.94,549.01,12325.02,24.27,0.8676470588235294,0.09533366783743101,0.1420911528150134,0.46987951807228917,0.3799509288468279,0.35470266997859234
R R Kabel,543981.0,RRKABEL,Cables - Power,874.85,38.01,9891.79,21.71,26.33,20.75,177.42,4.93,303.31,63.66,1.9,1.36,0.24,8.9,8.0,4.45,34.41,23.05,24.05,1.0,35.49,11.31,482.08,10316.91,20.15,0.6470588235294118,0.09533366783743101,0.35481542586100223,0.37366609294320136,0.363652295828952,0.3522930913165792
Pix Transmission,500333.0,PIXTRANS,Miscellaneous,1583.35,18.82,2158.11,22.64,60.91,18.23,404.96,3.91,875.65,14.22,4.98,0.8,0.07,8.07,9.0,16.83,9.04,84.15,32.98,3.66,81.46,1.36,1070.12,2128.06,17.6,0.8970588235294118,0.24987456096337182,0.09321509589606103,0.38967297762478487,0.3194882579740624,0.3496697568158708
