name,bse_code,nse_code,industry,current_price,price_to_earning,market_capitalization,roce,eps_last_year,roe,book_value,price_to_book_value,graham_number,historical_pe_7years,current_ratio,peg_ratio,debt_equity,z_score,f_score,npm_last_year,growth,eps,industry_pe,quick_ratio,debtor_days,number_of_equity_shares,intrinsic_value,enterprise_value,return_on_invested_capital,debt_equity_norm,current_ratio_norm,growth_norm,roce_norm,roe_norm,final_score
Denis Chem Lab,537536.0,,Pharmaceuticals - Indian - Bulk Drugs & Formln,91.15,12.52,126.49,20.14,8.04,14.62,59.43,1.53,98.65,17.64,2.37,0.83,0.05,5.05,8.0,6.67,15.42,7.28,27.99,2.08,69.1,1.39,103.6,102.36,14.37,0.9264705882352942,0.11891620672353237,0.15900185605279438,0.3466437177280551,0.2562215212057483,0.32307734137995986
Sanrhea Tech.,514280.0,,Textiles - Processing,106.4,10.06,53.2,29.83,10.4,27.22,47.08,2.26,105.86,11.1,2.15,0.28,0.45,5.59,8.0,7.64,20.42,10.58,18.89,1.27,69.85,0.5,131.75,62.9,22.23,0.3382352941176471,0.10787757150025087,0.21055887811919985,0.5134251290877796,0.4770417104801962,0.3230438958610924
Usha Martin,517146.0,USHAMART,Steel - Medium / Small,306.0,22.65,9325.1,22.08,13.91,19.21,84.48,3.62,160.43,16.85,2.6,0.43,0.18,6.97,8.0,13.14,15.43,13.54,22.58,1.32,61.03,30.47,147.78,9593.98,18.21,0.7352941176470589,0.13045659809332666,0.1591049700969272,0.3800344234079173,0.3366631615842972,0.31950119678839883
KDDL Ltd,532054.0,KDDL,Miscellaneous,2897.05,36.37,3632.07,18.65,81.9,17.2,678.35,4.27,1102.65,33.81,3.45,1.01,0.38,5.5,8.0,9.85,36.34,79.66,27.77,1.93,18.53,1.25,1843.09,3383.5,12.53,0.4411764705882353,0.1731058705469142,0.3747164363786348,0.3209982788296041,0.3014370837714686,0.31896382631249137
Bombay Super Hyb,,BSHSL,Miscellaneous,128.5,53.26,1348.44,23.89,2.12,33.02,8.71,14.75,21.74,52.7,2.21,0.87,0.41,17.73,8.0,8.67,14.51,2.41,16.38,0.87,14.31,10.49,37.14,1385.68,20.99,0.3970588235294118,0.11088810837932765,0.14961847803670858,0.41118760757314976,0.578689099193831,0.31711640606785063
Alkem Lab,539523.0,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,4706.95,26.02,56278.65,19.68,150.19,19.56,961.22,4.9,1973.52,29.76,2.66,1.31,0.13,8.02,9.0,15.08,12.63,180.08,27.99,1.97,64.91,11.96,2339.51,55804.3,19.59,0.8088235294117647,0.13346713497240342,0.13023303773974015,0.3387263339070568,0.34279705573080965,0.31687989376875375
Federal-Mogul Go,505744.0,FMGOETZE,Auto Ancillaries,329.75,12.83,1834.4,16.89,22.81,12.38,212.83,1.55,350.81,26.66,2.54,1.59,0.01,4.59,8.0,8.02,15.27,25.7,24.58,2.13,60.96,5.56,241.13,1286.87,12.74,0.9852941176470589,0.12744606121424987,0.15745514539080221,0.2907056798623064,0.2169645986680687,0.3141811719436844
Welspun Corp,532144.0,WELCORP,Steel - Large,810.1,14.36,21252.92,20.19,42.44,19.8,230.14,3.52,540.2,16.02,1.48,0.16,0.37,5.29,8.0,6.02,34.34,56.36,16.51,0.79,37.87,26.23,695.02,22861.21,19.08,0.4558823529411765,0.07425990968389362,0.35409362755207263,0.34750430292598966,0.3470031545741325,0.3106592332659978
ACC,500410.0,ACC,Cement - North India,1854.0,14.48,34815.76,17.27,124.42,14.15,890.41,2.08,1664.16,22.92,1.55,2.0,0.03,4.83,8.0,10.8,13.13,138.24,41.88,1.24,15.13,18.78,1468.22,34089.85,17.39,0.9558823529411765,0.07777220270948319,0.1353887399463807,0.29724612736660927,0.24798457763757448,0.30183011947050503
TPL Plastech,526582.0,TPLPLASTEH,Packaging,72.09,24.62,562.32,19.01,2.54,15.85,17.17,4.2,33.63,18.7,1.73,2.14,0.21,7.02,8.0,6.23,22.44,2.93,23.41,0.94,63.89,7.8,49.62,583.05,14.3,0.6911764705882353,0.0868038133467135,0.23138791503402764,0.32719449225473324,0.27777777777777773,0.29987866602258706
