,Ticker,Cov_mar,Market_var,Beta,Volatility%,Return%,CV,Sharp Ratio,CAGR,MAXDD%,Value at Risk
8,LINDEINDIA.NS,0.042308270946874414,0.05386164675050927,0.7854990238759156,43.300114511170214,62.864952429472666,68.87798819182758,1.3363695011602135,87.34907988499192,46.97358213991388,-39602.54002476661
2,MAXHEALTH.NS,0.01667469598013304,0.05386164675050927,0.3095838502185301,41.90464404425738,62.852770160423475,66.67111717956307,1.3805813527331852,56.17489639768352,25.886203539501647,-48211.849426225934
24,CDSL.NS,0.042450706843073005,0.05386164675050927,0.7881435010650064,41.93718876480305,61.4394184453604,68.25778925967346,1.3458083411811512,84.70084466517653,36.88947172471089,-40775.905763012415
6,AFFLE.NS,0.036261099967250916,0.05386164675050927,0.6732267235573903,49.127653721737644,59.39997738146733,82.70651924030086,1.1073188573098254,80.97709901197936,58.27327105735749,880.2569335345615
16,SPLPETRO.NS,0.02276361352433796,0.05386164675050927,0.42263122087188554,43.79749781527412,50.825387978011236,86.1724810329483,1.0463015072525421,66.12491566982266,37.19224444245148,3216.8788935293705
27,IEX.NS,0.03292841250230322,0.05386164675050927,0.6113517593479794,42.396271307544716,43.50574064648189,97.44983231534322,0.908234131420645,54.41473251100162,52.66723116003386,16387.466414827533
11,APOLLOHOSP.NS,0.03984077470732379,0.05386164675050927,0.739687274915097,39.94973959622921,38.58833702901687,103.52801564417926,0.8407648552529544,47.014937574880335,39.53184844163924,20605.87194485127
5,SCI.NS,0.04837865687652328,0.05386164675050927,0.8982023349678934,52.598291201290856,37.19520135172577,141.41149742384823,0.6120959562833791,44.983738976559074,50.802918594248936,54706.55924345706
25,ESABINDIA.NS,0.041577039219455984,0.05386164675050927,0.7719229122726899,44.6488343905851,35.97534950896246,124.1095222145426,0.6937549419093927,43.22824699704486,44.12475527100713,38792.40036721825
19,AMBUJACEM.NS,0.04039075795787862,0.05386164675050927,0.7498983115939863,33.809630324222184,35.042486445821105,96.4818246459051,0.8885777856109184,41.900117947368784,36.30803800520255,8993.64607748107
22,TCIEXP.NS,0.034029510953916674,0.05386164675050927,0.6317948485968806,45.63932570820135,34.04130902408935,134.07041919540947,0.636322044058391,40.48842709435008,43.23113650915143,44591.76909987531
7,KIMS.NS,0.014092763382603462,0.05386164675050927,0.261647465921012,38.33689374400658,29.1383132208603,131.56867885050036,0.6296366466736492,13.282035426930117,25.050077514401387,35693.35644030879
1,CAMS.NS,0.015611109113975036,0.05386164675050927,0.28983720431509885,36.95885648067288,28.68919953345694,128.82498320516746,0.6409613767635066,21.155526156532133,47.596865812440114,32837.01764168529
13,ADANIPORTS.NS,0.055975706373079054,0.05386164675050927,1.0392498141091424,40.22438683696771,24.656544072831146,163.13878667728886,0.4886723109664918,27.919834598507933,50.72326368590677,47557.797722360105
4,LALPATHLAB.NS,0.02822502984743304,0.05386164675050927,0.5240283494890762,39.85840620622941,20.37015487827821,195.67060949905968,0.3856189030427421,22.559616127787805,56.37623179749701,53282.39241413616
15,ABBOTINDIA.NS,0.020947361358274432,0.05386164675050927,0.38891052580148544,29.180480016636523,19.721750746835358,147.9609005874844,0.504506805180796,21.768567978161446,32.87498281448816,31018.501387420925
12,ACC.NS,0.039845482176389765,0.05386164675050927,0.7397746741936184,31.153372406178452,17.24806802922559,180.61948940247302,0.39315384124501734,18.797305463976734,41.443194820647214,40293.827236099554
18,ASTRAZEN.NS,0.03765334280120845,0.05386164675050927,0.699075224632868,40.36546815804838,12.519416738705727,322.4229131478006,0.1862834021709828,13.317754043245378,47.26369122379908,63024.36739858013
14,HINDZINC.NS,0.032238929787438454,0.05386164675050927,0.5985507635288486,39.053010384059924,11.44742507194701,341.1510460964972,0.16509418886126698,12.111102519609695,42.99659339307249,62660.79074922698
20,QUESS.NS,0.0390664560272709,0.05386164675050927,0.7253112072163208,46.305370076291844,10.059429928397694,460.3180339829411,0.1092622717421732,10.567820836186726,73.42925708261515,73174.6995279732
